Albuquerque Public Schools	ATF-Negotiated-Agreement_2018-19.pdf
Fresno Unified School District	FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf
Hillsborough County Public Schools	Hillsborough_Contract_Teacher_2013_2016.pdf
Jefferson County Public Schools	Jefferson_County_KY_2018-2026_Contract.pdf
Long Beach Unified School District	2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf
Los Angeles Unified School District	Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf
Miami–Dade County Public Schools	UTD_2017-2020_Agreement.pdf
Montgomery County Public Schools	MCEA-Contract-FY15-FY17-3-15-14.pdf
New York City Department of Education	NYC_19-22_CBA.pdf
Orange County Public Schools	Orange_Contract_23-24_edition_of_21-24_CBA.pdf
School District of Palm Beach County	Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf
School District of Philadelphia	SD_of_Philadelphia_2021-2024.pdf
Portland Public Schools, ME	PEA_Contract_2019-2022_(Teachers).pdf
Prince Georges County Public Schools	Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf
Seattle Public Schools	Seattle_final_CBA_2018-2019.pdf
