question_id,gold_status,required,optional,gold_pages,provision
benefits_disability_009,yes,,disability income;salary continuation;professional personnel;no District contribution;temporary disability leave,99;101;102,"DEB(LOCAL) p.99 heading 'DISABILITY INCOME / SALARY CONTINUATION': 'The District shall make available a disability income and salary continuation plan to all professional personnel. The District shall not make any contribution toward the payment of premiums.' Applies to the professional (certificated) group only and is fully employee-paid; DEC(LEGAL) pp.101-102 separately grants unpaid temporary disability leave of absence under Education Code 21.409."
benefits_health_plan_type_005,value,hospitalization,surgical;group life insurance;optional basis;full-time salaried;District pays a portion of the premium;cafeteria plan;premium conversion plan,99;87,"DEB(LOCAL) p.99: 'A group hospitalization and surgical benefits plan shall be available on an optional basis for the regularly employed full-time, salaried personnel of the District. The District shall pay a portion of the premium...'; group life insurance is also offered with no District cost share. No HMO, PPO, POS, high-deductible/HSA or TRS-ActiveCare plan type is named anywhere; p.87 (DEA LEGAL, Education Code 22.108) mentions only a cafeteria plan / premium conversion plan as vehicles for the state health-care compensation supplement."
class_elementary_max_002,value,22,20;kindergarten through fourth grade;K-4;Education Code 25.112;Education Code 25.111;last 12 weeks;Commissioner exception,327;329,"EEB(LEGAL) p.327: 'The District shall not enroll more than 22 students in a class, kindergarten through fourth grade, except as allowed by the Commissioner of Education' (Education Code 25.112(a)), and 'an average ratio of not less than one teacher for each 20 students in average daily attendance' districtwide (Education Code 25.111); the 22-student cap does not apply during the last 12 weeks of the school year. EEB(LOCAL) p.329 adds no local number - only 'The District shall comply with state law and any applicable court orders.'"
class_overage_remedy_004,yes,,exception to class size limits;undue hardship;Commissioner;one semester at a time;notice to parents;Education Code 25.112(d);Education Code 25.113,327;328,"EEB(LEGAL) pp.327-328 is the only overage provision: the Commissioner may grant the District an 'EXCEPTION TO CLASS SIZE LIMITS' on application if the limit 'works an undue hardship,' expiring at the end of the semester and not grantable for more than one semester at a time (Education Code 25.112(d)); a campus granted an exception must give written notice in bold or underlined print to each affected student's parent within 31 days (Education Code 25.113). NOTE: this is a waiver plus parent-notice mechanism, not a teacher-facing remedy - no extra compensation, aide, co-teacher, or student-transfer relief for overage classes appears anywhere (checked EEB, EEA, EEC, DK assignment, DL work load, DEA stipends, and the whole Stipend Handbook pp.696-716)."
conduct_acceptable_use_006,yes,,networking;booting;computer software;cellular phones;electronic recording;planning periods,384;221,"EFE(LOCAL) p.384 states 'District employees shall not use networking and booting (defined below) to accomplish multiple simultaneous use of a program without permission or unless the purchase agreement allows a specified multiple use of the single copy,' and bars using a purchased computer program as a 'master' to make copies. DH(LOCAL) p.221 adds employee technology-use rules: teachers may use cellular phones for business calls 'only during planning periods and other off-duty times,' phones must be 'off' during instructional time, and employees may not electronically record conversations or meetings without every participant's consent. CAUTION: there is no comprehensive acceptable-use policy, no email policy, and no internet-access policy for employees - the TASB CQ (Technology Resources) series is not included in this excerpt, which contains only the D (personnel) and E (instruction) series."
conduct_ethics_002,yes,,Code of Ethics and Standard Practices for Texas Educators;DH(EXHIBIT);19 TAC 247.2;standards of conduct;professional educators,224;225;226;218,"DH(EXHIBIT) pp.224-226 reproduces in full the 'CODE OF ETHICS AND STANDARD PRACTICES FOR TEXAS EDUCATORS' (Standards 1.1-1.8 professional ethical conduct, 2.1-2.7 conduct toward colleagues, 3.1-3.7 conduct toward students), citing 19 TAC 247.2. DH(LOCAL) p.218 requires that 'All District employees shall perform their duties in accordance with state and federal law, District policy, and ethical standards for professional educators. [See DH(EXHIBIT)]' and sets out local standards of conduct (pp.218-223) whose violation 'may result in disciplinary action, including termination.'"
discipline_just_cause_001,yes,,good cause;Education Code 21.211;Education Code 21.104;Education Code 21.156;financial exigency;at-will exception,159;154;170;151;152;153,"Good cause is the governing standard for teacher discipline and dismissal: DFBA(LEGAL) p.159 'The Board may terminate a term contract and discharge a term contract employee at any time for: 1. Good cause as determined by the Board; or 2. A financial exigency...' (Education Code 21.211(a)), and may suspend without pay 'for good cause as determined by the Board'; DFAA(LEGAL) p.154 and DFCA(LEGAL) p.170 apply the same standard to probationary and continuing contracts, defining 'Good cause' as 'the failure to meet the accepted standards of conduct for the profession as generally recognized and applied in similarly situated school districts in this state' (Education Code 21.104, 21.156). DF(LOCAL) pp.151-153 lists 34 acts 'determined to be good cause for termination of an employment contract,' ending with 'Any other reason constituting good cause under Texas law.' Exception for a non-teacher subset: hourly/noncontract employees are at-will and 'may be discharged, with or without cause' (pp.73, 212)."
discipline_dismissal_002,yes,,hearing examiner;15th day;notice of proposed contract nonrenewal;term contract;probationary contract;continuing contract;reduction in force;Education Code 21.251,151;154;157;159;162;164;172;176;182,"The whole DF series sets out dismissal procedures: DF(LOCAL) p.151 requires an employee recommended for termination to file a written hearing request with the Commissioner 'not later than the 15th day after the date the employee receives written notice'; DFAA/DFAB cover probationary suspension, discharge and end-of-year termination; DFBA covers mid-contract suspension/termination of term contracts (written notice of charges and explanation of the District's evidence); DFBB covers nonrenewal with reasons and a Board hearing (EXHIBIT notice form at p.168); DFCA covers continuing-contract discharge; DFD pp.172-176 covers hearings before a state-certified hearing examiner; DFF pp.182-187 covers reduction in force. DGBA(REGULATION) pp.210-212 adds the Level III termination-appeal procedure and places the burden of proof on the District."
evaluation_observation_count_003,value,at least one,1;classroom observation;annual appraisal;walk-throughs;discretion of the appraiser;second appraisal on request,290;295,"DNA(LEGAL) p.290 'APPRAISAL PROCESS - CLASSROOM OBSERVATION': the annual appraisal shall include '1. At least one classroom observation of a minimum of 45 minutes, with additional walk-throughs and observations conducted at the discretion of the appraiser.' (19 TAC 150.1003). So exactly one formal observation is required per year; additional observations are discretionary. DNA(LOCAL) p.295 adopts PDAS, requires all observations to be completed no later than 20 working days before the last day of instruction, and allows a teacher to request a second appraisal/appraiser."
evaluation_observation_duration_004,value,45,minutes;shorter time segments;aggregate;mutual consent;written summary within ten working days,290,"DNA(LEGAL) p.290: 'At least one classroom observation of a minimum of 45 minutes...' and 'By mutual consent of the teacher and appraiser, the required minimum of 45 minutes of observation may be conducted in shorter time segments. The time segments must aggregate to at least 45 minutes.' A written summary of each observation is due within ten working days (19 TAC 150.1003)."
leave_fmla_012,yes,,12 workweeks;serious health condition;12 months;1250 hours;rolling 12-month period;29 U.S.C. 2611;concurrent use,100;102;103;104;105;106;107;108;116;117,"DEC(LEGAL) pp.102-108 is a full 'FEDERAL FAMILY AND MEDICAL LEAVE ACT (FMLA)' section (indexed on the DEC introductory page p.100 as 'Family and Medical Leave (FML) pages 4-11'): 12 workweeks in a 12-month period for employees with 12 months of service and 1,250 hours, birth/adoption/foster placement, care for spouse/child/parent, own serious health condition, notice, medical certification and recertification, maintenance of health benefits, end-of-term leave for instructional employees, reinstatement, and key-employee denial (29 U.S.C. 2611-2619). DEC(LOCAL) pp.116-117 adopts a 'rolling 12-month period measured backward,' requires concurrent use with medical and workers' compensation leave, caps spousal combined leave at 12 weeks, and sets a five-day advance request rule."
leave_parental_paid_009,no,,unpaid;FMLA;temporary disability leave;local leave;first-year care following the birth or adoption;five workdays,115;117;102;103;113;114,"No paid parental/maternity/paternity/bonding/adoption leave exists beyond accrued leave. Birth, adoption and foster placement are covered only by (a) unpaid FMLA - 12 weeks, DEC(LEGAL) p.103 and DEC(LOCAL) p.117; (b) unpaid temporary disability leave, for which 'pregnancy is considered a temporary disability' (DEC LEGAL p.102, Education Code 21.409); or (c) the employee's own accrued paid leave - DEC(LOCAL) p.115 lists as an allowed use of the five accrued local leave days '3. First-year care following the birth or adoption of an employee's son or daughter or the placement of a child with the employee for foster care, as provided by FMLA.' DEC(LOCAL) pp.113-121 enumerates every paid leave the District grants (five state personal days, five local days, two emergency days for home destruction, jury duty, professional activities, wartime military leave with pay) and no parental category appears; 'Any other leaves granted or days of absence shall result in a deduction of the daily rate of pay' (p.116)."
meta_cites_federal_law_008,value,U.S.C.,Title VII;Title IX;Americans with Disabilities Act;Age Discrimination in Employment Act;Rehabilitation Act;Family and Medical Leave Act;Fair Labor Standards Act;USERRA;No Child Left Behind Act;CFR;42 U.S.C. 2000e;29 U.S.C. 2611,3;6;86;90;102;103;109;327,"Federal citations appear on essentially every (LEGAL) page. Representative sentences: DAA(LEGAL) p.3 - '42 U.S.C. 1981; 42 U.S.C. 2000e et seq. (Title VII); 20 U.S.C. 1681 et seq. (Title IX); 42 U.S.C. 12100 et seq. (Americans with Disabilities Act); 29 U.S.C. 621 et seq. (Age Discrimination in Employment Act); 29 U.S.C. 793, 794 (Rehabilitation Act)'; DAA(LEGAL) p.6 - protections 'afforded by the Uniformed Services Employment and Re-employment Rights Act of 1994 (USERRA). 38 U.S.C. 4311'; DEA(LEGAL) p.86 - 'Employees not exempt under the Fair Labor Standards Act shall be paid minimum wage and receive compensation for overtime under the conditions specified in the Act'; DEC(LEGAL) p.102 - FMLA entitlement to '12 workweeks of leave... 29 U.S.C. 2611(2), 2612(a)'; EEB(LEGAL) p.327 - 'No Child Left Behind Act of 2001 Sec. 1309, Pub. L. No. 107-110, 115 Stat. 1579-1580 (2002)'; 34 CFR and 29 CFR are cited throughout (e.g. 34 CFR 104.8 p.4, 29 CFR 1630.9 p.5)."
