page,engine,reason,agreement,disputed,dropped
1,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
2,olmocr2,figures agree (0.958); prose-preferred engine,0.958,0,
3,olmocr2,figures agree (0.95); prose-preferred engine,0.95,0,
4,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
5,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
6,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
7,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
8,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
9,olmocr2,figures agree (0.923); prose-preferred engine,0.923,0,
10,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
11,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
12,olmocr2,figures agree (0.818); prose-preferred engine,0.818,0,
13,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
14,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
15,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
16,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
17,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
18,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
19,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
20,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
21,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
22,olmocr2,figures agree (0.923); prose-preferred engine,0.923,0,
23,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
24,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
25,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
26,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
27,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
28,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
29,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
30,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
31,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
32,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
33,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
34,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
35,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
36,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
37,olmocr2,figures agree (0.929); prose-preferred engine,0.929,0,
38,olmocr2,figures agree (0.818); prose-preferred engine,0.818,0,
39,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
40,olmocr2,figures agree (0.815); prose-preferred engine,0.815,0,
41,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
42,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
43,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
44,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
45,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
46,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
47,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
48,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
49,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
50,olmocr2,figures agree (0.846); prose-preferred engine,0.846,0,
51,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
52,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
53,olmocr2,figures agree (0.938); prose-preferred engine,0.938,0,
54,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
55,olmocr2,figures agree (0.929); prose-preferred engine,0.929,0,
56,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
57,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
58,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
59,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
60,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
61,olmocr2,figures agree (0.933); prose-preferred engine,0.933,0,
62,olmocr2,figures agree (0.955); prose-preferred engine,0.955,0,
63,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
