page,engine,reason,agreement,disputed,dropped
1,apple_vision,figures disagree (0.562); figure-preferred engine,0.562,1,
2,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
3,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
4,apple_vision,figures disagree (0.625); figure-preferred engine,0.625,1,
5,olmocr2,figures agree (0.895); prose-preferred engine,0.895,0,
6,olmocr2,figures agree (0.929); prose-preferred engine,0.929,0,
7,olmocr2,figures agree (0.944); prose-preferred engine,0.944,0,
8,apple_vision,only surviving engine,,0,olmocr2
9,olmocr2,figures agree (0.941); prose-preferred engine,0.941,0,
10,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
11,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
12,olmocr2,figures agree (0.944); prose-preferred engine,0.944,0,
13,olmocr2,figures agree (0.923); prose-preferred engine,0.923,0,
14,olmocr2,figures agree (0.867); prose-preferred engine,0.867,0,
15,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
16,apple_vision,figures disagree (0.434); figure-preferred engine,0.434,1,
17,apple_vision,only surviving engine,,0,olmocr2
18,apple_vision,figures disagree (0.512); figure-preferred engine,0.512,1,
19,apple_vision,figures disagree (0.203); figure-preferred engine,0.203,1,
20,apple_vision,figures disagree (0.325); figure-preferred engine,0.325,1,
21,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
22,apple_vision,only surviving engine,,0,olmocr2
23,apple_vision,figures disagree (0.716); figure-preferred engine,0.716,1,
24,apple_vision,figures disagree (0.04); figure-preferred engine,0.04,1,
25,apple_vision,only surviving engine,,0,olmocr2
26,apple_vision,figures disagree (0.654); figure-preferred engine,0.654,1,
27,apple_vision,figures disagree (0.079); figure-preferred engine,0.079,1,
28,apple_vision,figures disagree (0.388); figure-preferred engine,0.388,1,
29,apple_vision,only surviving engine,,0,olmocr2
30,apple_vision,only surviving engine,,0,olmocr2
31,apple_vision,figures disagree (0.509); figure-preferred engine,0.509,1,
32,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
33,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
34,,no usable text; blank page or all engines fabricated,,0,olmocr2
