# Albequerque_2022-2023.pdf — Appendix A.1 2022-2023 Salary Matrix A1 (2022-2023)
# population: LEVEL 1 EDUCATORS | is_teacher_schedule: True
step,BA,BA+15,BA+45,MA,MA+15,MA+45,Doctorate
1,50000,50162,50323,50485,50647,50808,50970
2,50001,50163,50324,50486,50648,50809,50971
3,50002,50164,50325,50487,50649,50810,50972
4,50003,50165,50326,50488,50650,50811,50973
5,50004,50166,50327,50489,50651,50812,50974
6,50005,50167,50328,50490,50652,50813,50975
7,50006,50168,50329,50491,50653,50814,50976
8,50007,50169,50330,50492,50654,50815,50977
9,50008,50170,50331,50493,50655,50816,50978
10,50009,50171,50332,50494,50656,50817,50979
11,50010,50172,50333,50495,50657,50818,50980
12,50011,50173,50334,50496,50658,50819,50981
13,50012,50174,50335,50497,50659,50820,50982
14,50013,50175,50336,50498,50660,50821,50983
15,50014,50176,50337,50499,50661,50822,50984
16,50015,50177,50338,50500,50662,50823,50985
17,50016,50178,50339,50501,50663,50824,50986
18,50017,50179,50340,50502,50664,50825,50987
19,50018,50180,50341,50503,50665,50826,50988
20,50019,50181,50342,50504,50666,50827,50989
