# 72.pdf — DAVIS COUNTY SCHOOL DISTRICT SENIOR HIGH COACHING EXTRA COMPENSATION FOR EXTRA DUTIES 2007-2008 (2007-2008)
# population: Senior high coaches | is_teacher_schedule: False
step,Coaches' Extra Compensation,Assistants' Extra Compensation
Athletic Director,4602,
Football,2628,1761
Basketball,2628,1761
Wrestling,2365,1585
Drill Team Director,2365,
Swimming,2102,1408
Volleyball,1708,1144
Baseball,1708,1144
Track and Field,1708,1144
Softball,1708,1144
Soccer,1708,1144
Tennis,1051,
Golf,1051,
Cross Country,1051,
