# Davis_2019-2020.pdf — Davis School District Educator Salary Schedule – School Year 2019-2020 (2019-2020)
# population: Educators | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,value
A,43798
B,44673
C,46423
D,46423
E,47298
F,48173
G,49523
H,50398
I,51273
J,52148
K,53023
L,53898
M,54773
N,55648
O,56523
P,57398
Q,58272
R,59148
S,60023
T,60898
U,61773
V,62648
W,63523
X,64398
Y,65272
Z,65673
AA,66548
AB,67423
AC,68298
AD,69173
AE,70048
AF,70923
AG,71798
AH,72673
AI,73548
AJ,74423
AK,75298
AL,76171
AM,77048
AN,77923
