# 8DA-EducatorsAgreement.pdf — Davis School District Educator Salary Schedule – School Year 2020-2021 (2020-2021)
# population: Educators | is_teacher_schedule: True
step,value
A,44916
B,45791
C,46666
D,47541
E,48416
F,49291
G,50641
H,51516
I,52391
J,53266
K,54141
L,55016
M,55891
N,56766
O,57641
P,58516
Q,59391
R,60266
S,61141
T,62016
U,62891
V,63766
W,64641
X,65516
Y,66391
Z,66791
AA,67666
AB,68541
AC,69416
AD,70291
AE,71166
AF,72041
AG,72916
AH,73791
AI,74666
AJ,75541
AK,76416
AL,77291
AM,78166
AN,79041
