# 8DA-EducatorsAgreement_(1).pdf — 3.3.     Davis School District Educator Salary Schedule – School Year 2021-2022 (2021-2022)
# population: Educators / Licensed Educators | is_teacher_schedule: True
step,value
A,48135
B,49010
C,46666
D,52260
E,53135
F,54010
G,55360
H,56235
I,57110
J,57985
K,58860
L,59735
M,60610
N,61485
O,62360
P,63235
Q,64985
R,64985
S,65860
T,66735
U,67610
V,68485
W,69360
X,70235
Y,71110
Z,71510
AA,72385
AB,73260
AC,74135
AD,75010
AE,75885
AF,76760
AG,77635
AH,78510
AI,79385
AJ,80260
AK,81135
AL,82010
AM,82885
AN,83760
