# 8DA-EducatorsAgreement_(1).pdf — (ii) Senior High Coaching Extra Compensation Schedule (2021-2022)
# population: Senior High Coaches & Athletic Staff | is_teacher_schedule: False
step,Coaches' Extra Compensation,Assistants' Extra Compensation
Athletic Director,,
Athletic Director - Stipend,,
Football,3898,2612
Basketball,3713,2488
Wrestling,3509,2351
Drill Team Director,3509,2351
Swimming,3119,2090
Volleyball,2534,1698
Baseball,2534,1698
Track and Field,2534,1698
Softball,2534,1698
Soccer,2534,1698
Debate Coach,2534,1698
Lacrosse,2534,1698
Tennis,1559,
Golf,1559,
Cross Country,1559,
