# professional_agreement_with_gea_2020_2023.pdf — Granite School District 2020-21 Teacher Salary Schedule Nine-Month Base Contract (190 Days) (2020-21)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,Bachelor's Degree,Bachelor's Degree + 20 Sem Hrs,Bachelor's Degree + 40 Sem Hrs,Master's Degree,Master's Degree + 20 Sem Hrs,Master's Degree + 40 Sem Hrs,Doctorate
6,50380,51864,54460,55202,57057,58912,60767
7,52605,54089,56687,57428,59283,61138,62993
8,54832,56315,58912,59654,61509,63364,65219
9,57057,58542,61138,61880,63735,65595,67513
10,59283,60767,63364,64105,65978,67899,69819
11,61509,62993,65595,66362,68283,70204,72124
12,63735,65217,67899,68668,70588,72509,74430
13,,,,70204,72892,74813,76735
14,,,,72094,75197,77118,79040
15,,,,73276,77503,79425,81342
16,,,,,79806,81728,83648
17,,,,,,84033,85954
20,65979,69820,74815,77886,82110,86338,88258
