# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT BB TEACHER'S ANNUAL RATE SALARY SCHEDULE (12-MONTH) Effective the First Work Day of the 2023-2024 School Year (2023-2024)
# population: Teachers (Class II through Class VII) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER
14B^5,88402,95472,99296,103264,107395,113838
14A^5,83396,90068,93674,97419,101318,107395
14^5,80968,87446,90945,94584,98366,104270
13^5,78609,84900,88295,91827,95500,101230
12^5,76318,82427,85724,89152,92718,98282
11^5,74099,80026,83228,86554,90019,95420
10^5,71939,77695,80803,84033,87397,92639
9^5,69845,75432,78449,81588,84850,89942
8^5,67811,73234,76164,79208,82379,87323
7^5,65834,71104,73947,76904,79979,84777
6^5,63918,69033,71794,74664,77650,82311
5^5,62055,67020,69702,72489,75388,79911
(ENTRY LEVEL) 4^5,60247,65068,67672,70378,73192,77583
