# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT C TEACHER'S ANNUAL RATE SALARY SCHEDULE (10-MONTH) Effective the First Work Day of the 2024-2025 School Year (2024-2025)
# population: 10-month teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER
14B^5,76058,82143,85428,88845,92399,97943
14A^5,71753,77492,80593,83816,87170,92398
14^5,69662,75235,78246,81375,84629,89709
13^5,67633,73044,75967,79004,82164,87095
12^5,65664,70918,73755,76705,79772,84559
11^5,63752,68853,71606,74469,77447,82093
10^5,61893,66847,69519,72300,75190,79705
9^5,60092,64899,67496,70196,73003,77384
8^5,58343,63008,65527,68150,70875,75129
7^5,56643,61174,63621,66165,68811,72941
6^5,54993,59391,61768,64239,66807,70816
5^5,53390,57662,59969,62366,64862,68753
(ENTRY LEVEL) 4^5,51835,55982,58222,60549,62973,66750
