# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT DD TEACHER'S ANNUAL RATE SALARY SCHEDULE (12-MONTH) (2025-2026)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER,CLASS VIII TEACHER
14B,91054,98336,102275,106362,110617,117253,121943
14A,85898,92770,96484,100342,104358,110617,115042
14,83397,90069,93673,97422,101317,107398,111694
13,80967,87447,90944,94582,98365,104267,108438
12,78608,84900,88296,91827,95500,101230,105279
11,76322,82427,85725,89151,92720,98283,102214
10,74097,80026,83227,86554,90019,95418,99235
9,71940,77695,80802,84036,87396,92640,96346
8,69845,75431,78449,81584,84850,89943,93541
7,67809,73237,76165,79211,82378,87320,90813
6,65836,71104,73948,76904,79980,84780,88171
5,63917,69031,71793,74664,77650,82308,85600
(ENTRY LEVEL) 4,62054,67020,69702,72489,75388,79910,83106
