# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT D TEACHER'S ANNUAL RATE SALARY SCHEDULE (10-MONTH) (2025-2026 School Year)
# population: 10-month teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER,CLASS VIII TEACHER
14B,76058,82143,85428,88845,92399,97943,101861
14A,71753,77492,80593,83816,87170,92398,96094
14,69662,75235,78246,81375,84629,89709,93297
13,67633,73044,75967,79004,82164,87095,90579
12,65664,70918,73755,76705,79772,84559,87941
11,63752,68853,71606,74469,77447,82093,85377
10,61893,66847,69519,72300,75190,79705,82893
9,60092,64899,67496,70196,73003,77384,80479
8,58343,63008,65527,68150,70875,75129,78134
7,56643,61174,63621,66165,68811,72941,75859
6,54993,59391,61768,64239,66807,70816,73649
5,53390,57662,59969,62366,64862,68753,71503
(ENTRY LEVEL) 4,51835,55982,58222,60549,62973,66750,69420
