# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT E TEACHER'S ANNUAL RATE SALARY SCHEDULE (10-MONTH) (2026-2027)
# population: 10-month teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER,CLASS VIII TEACHER
14B,78720,85018,88418,91955,95633,101371,105426
14A,74264,80204,83414,86750,90221,95632,99457
14,72100,77868,80985,84223,87591,92849,96562
13,70000,75601,78626,81769,85040,90143,93749
12,67962,73400,76337,79390,82564,87519,91019
11,65984,71263,74112,77076,80158,84966,88365
10,64059,69187,71952,74831,77822,82495,85794
9,62195,67171,69859,72653,75558,80093,83296
8,60385,65213,67821,70535,73356,77759,80869
7,58626,63315,65848,68481,71220,75494,78514
6,56918,61470,63930,66488,69145,73295,76227
5,55259,59680,62068,64549,67132,71160,74006
(ENTRY LEVEL) 4,53649,57942,60260,62668,65177,69086,71850
