document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,notes
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,"Having been identified as the exclusive bargaining agent under Board Policy, the Board recognizes the Davis Education Association (“the Association”) as the exclusive representative of the licensed personnel except as herein provided.",the Board,management,worker,,False,active,plain,other,right,False,0.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,"Any individual teacher shall have the right to present grievances, with or without representation by the Association, in accordance with the Grievance Procedure provided.",Any individual teacher,worker,worker,shall,False,active,rights_active,right,right,True,1.0,discipline,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,The Association recognizes the Board as having all the rights and powers as provided in the constitution and the laws of the State of Utah.,The Association,worker,management,,False,active,plain,other,right,False,0.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,The Board shall continue to recognize the Association as the exclusive representative for the term of this Agreement or any renewal thereof as long as there is verification of representation.,The Board,management,worker,shall,False,active,plain,obligation,right,False,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,Employee associations may use the buildings for meetings and membership drives.,Employee associations,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,"These meetings shall be without cost and include the use of faculty rooms, class rooms, auditoriums, and multipurpose (cafeteria) rooms.",These meetings,other,worker,shall,False,active,plain,obligation,right,False,1.0,other,"Subject is inanimate, but functionally imposes a benefit/duty on the District to provide meeting space at no cost to the association."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,These meetings should not interfere with the normal operation of the school where teachers are working with students and should follow other District policies.,These meetings,other,management,should,True,active,plain,prohibition,prohibition,True,0.7,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,"Employee associations may use the District delivery system, place notices, circulars, and other materials on designated bulletin boards and in teachers' mailboxes.",Employee associations,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,Authorized representatives of the associations will assume responsibility for the posting or distributing of material for the associations.,Authorized representatives of the associations,worker,management,will,False,active,plain,obligation,obligation,True,0.9,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,All materials shall clearly identify the association distributing or posting the material,All materials,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,2,"when appropriate, such materials shall be signed.",such materials,other,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,All materials shall clearly identify the association distributing or posting the material,All materials,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,Grammatical subject is inanimate; operational duty falls on the district or association.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,"when appropriate, such materials shall be signed.",such materials,other,management,shall,False,passive,plain,obligation,obligation,True,1.0,other,Standard procedural requirement for posted materials.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,"The rights and privileges of the teachers' organization and its representatives as set forth in this article shall be granted only to the Association recognized as the exclusive bargaining agent of teachers, with the exception of 1.6 and 1.7.",The rights and privileges of the teachers' organization and its representatives as set forth in this article,other,worker,shall,False,passive,rights_passive,right,right,True,1.0,teacher_rights_and_conduct,Restricts distribution of article rights exclusively to the recognized union.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The District shall release the association president full-time or part-time as soon as possible following Association elections.,The District,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,Release time for union leadership duties.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The Association president shall be considered to be on temporary special assignment.,The Association president,worker,worker,shall,False,passive,plain,obligation,other,False,1.0,other,Classification clause for leave/assignment status.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The Association shall reimburse the District for the Association President’s compensation as agreed to by the Association and the District less the amount allowed by law.,The Association,worker,management,shall,False,active,plain,obligation,obligation,True,1.0,compensation,Union obligation to repay district for president's salary.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The portion of the President’s time paid for by the District shall be subject to the provisions of Board policy as stipulated by Section 63G-11-206 of the Utah State Code.,The portion of the President’s time paid for by the District,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,Cross-references external state code and district policy.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The Association President shall be returned to the same assignment following one two-year term.,The Association President,worker,worker,shall,False,passive,plain,obligation,right,False,1.0,other,Guarantees return from union special assignment after term.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,the president will be guaranteed to return to the District in a similar position to that held before the special assignment.,the president,worker,worker,will,False,passive,rights_passive,right,right,True,0.9,other,Conditional guarantee for terms exceeding two years or extended terms.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,The time spent on special assignment shall be credited towards continuous service within the District.,The time spent on special assignment,other,worker,shall,False,passive,plain,obligation,right,False,1.0,seniority,Service credit accrual for union leave directly impacts seniority calculations.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,Individuals working in licensed positions not excepted above may be paid according to their respective salary tables (instead of Salary Table 1),Individuals working in licensed positions not excepted above,worker,worker,may,False,passive,rights_passive,right,right,True,0.3,compensation,Permissive pay provision allowing licensed non-union personnel to use alternate salary tables.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,3,are otherwise covered under the provisions of this agreement.,Individuals working in licensed positions not excepted above,worker,management,,False,passive,rights_passive,right,other,False,0.85,other,Status clause; subject omitted in text but carries over from preceding clause.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,Individuals working in licensed positions not excepted above may be paid according to their respective salary tables (instead of Salary Table 1),Individuals working in licensed positions not excepted above,worker,worker,may,False,active,rights_passive,right,right,True,0.3,compensation,First independent clause of a compound sentence split by 'but'.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,but are otherwise covered under the provisions of this agreement.,they (implied: Individuals working in licensed positions not excepted above),worker,worker,,False,passive,rights_passive,right,right,True,0.85,other,Implied subject carries over from preceding clause.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,"No change, revision, alteration or modification of this Agreement in whole or in part shall be valid unless the same is ratified by both the Board and the Association and is endorsed in writing by both parties.","No change, revision, alteration or modification of this Agreement in whole or in part",other,management,shall,False,passive,plain,obligation,prohibition,False,1.0,other,Conditionally prohibits unratified unilateral amendments.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,This Agreement shall be deemed to be a part of each individual teacher's contract by reference thereof.,This Agreement,other,worker,shall,False,passive,rights_passive,right,right,True,1.0,other,Incorporates the CBA directly into teacher contracts.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,"On a mutually agreed upon date, the parties shall initiate negotiations for the purpose of entering into a succeeding agreement.",the parties,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,Joint procedural duty; assigned to management as default for mutual rules.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,The negotiation teams shall consist of an equal number of Association representatives and representatives designated by the Board.,The negotiation teams,other,management,shall,False,active,plain,obligation,obligation,True,1.0,other,Defines composition of negotiation delegations.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,"During negotiations, upon reasonable request of either party, the other will make available for inspection its records and data relevant to the subject of negotiations.",the other,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,Mutual duty to share relevant data; assigned to worker as beneficiary.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,"Salary, benefit, and policy issues shall be negotiated every year.","Salary, benefit, and policy issues",other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,Mandates annual negotiation scope.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,Policy issues shall be limited to ten (10) items per year per party unless State or Federal statutes or State School Board Policy issues require negotiation.,Policy issues,other,management,shall,False,passive,plain,obligation,prohibition,False,1.0,other,Caps negotiable policy items to protect management's operational flexibility.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,This will not preclude discussion of proposed changes at any time through the Liaison process.,This,other,worker,will,True,active,permission_verb,prohibition,permission,False,0.9,other,Negated prohibition functions as a permission to discuss changes outside formal limits.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,"If agreement cannot be reached through the negotiation process within ninety (90) calendar days of the first formal negotiation session, either party may declare impasse.",either party,other,worker,may,False,active,permission_verb,permission,permission,True,0.3,other,Grants discretion to escalate negotiation breakdowns.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,A declaration of impasse must be in writing stating the disputed issues and request the state superintendent of public instruction appoint a mediator to help resolve the impasse.,A declaration of impasse,other,management,must,False,passive,plain,obligation,obligation,True,1.0,other,Procedural mandate for formal impasse documentation.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,4,A copy of the declaration must be submitted to each negotiation team and the state superintendent of public instruction before being released to any other party.,A copy of the declaration,other,management,must,False,passive,plain,obligation,obligation,True,1.0,other,Controls chain of custody and public release of impasse notices.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,The state superintendent shall appoint a mediator within five (5) days after receiving the written request for appointment of a mediator.,The state superintendent,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,The mediator will be mutually acceptable to the Board and the Association.,The mediator,other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,The mediator shall meet with the parties to resolve their differences and effect a mutually acceptable agreement.,The mediator,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,"For the purpose of mediation, parties agree to fully comply with the requests of the mediator.",parties,other,worker,,False,active,plain,other,obligation,False,0.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,The expense of the mediation shall be paid equally by the parties.,The expense of the mediation,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,"If the mediator is unable to effect settlement of the controversy within fifteen (15) calendar days after his appointment, either party may, by written notice to the other and the state superintendent of public instruction, request that all unresolved issues be submitted to a hearing officer",either party,other,worker,may,False,active,plain,permission,permission,True,0.3,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,who shall make findings of fact and recommend terms of settlement.,who,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,the state superintendent of public instruction shall appoint a hearing officer who is mutually acceptable to the District and the Association.,the state superintendent of public instruction,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,"The hearing officer may not, without consent of both parties, be the same person who served as mediator.",The hearing officer,other,worker,may,True,active,plain,prohibition,prohibition,True,0.3,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,"The hearing officer shall meet with the parties or their representatives, jointly or separately, and make inquiries and investigations, hold hearings,",The hearing officer,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,may issue subpoenas for the production of persons or documents relevant to all issues in dispute.,hearing officer,other,worker,may,False,active,plain,permission,permission,True,0.3,other,Implied subject carried over from previous clause.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,5,"The State Board of Education and departments, divisions, authorities, bureaus, agencies, and officers shall furnish the hearing officer, on request, all relevant records, documents, and information in their possession.","The State Board of Education and departments, divisions, authorities, bureaus, agencies, and officers",management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,6,the hearing officer shall prepare a written report containing the agreements of the parties with respect to all resolved negotiated contract issues and the positions that the hearing officer considers appropriate on all unresolved final positions of the parties.,the hearing officer,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,6,"The hearing officer shall submit the report to the parties privately within ten (10) working days after the conclusion of the hearing, or within the date established for the submission of post-hearing briefs, but not later than twenty (20) working days after the hearing officer’s appointment.",The hearing officer,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,Davis School District,6,"Either the hearing officer, the Association, or the District may make the report public if the dispute is not settled within ten (10) working days after its receipt from the hearing officer.","Either the hearing officer, the Association, or the District",other,management,may,False,active,plain,permission,permission,True,0.3,discipline,
