# Albuqurque_tentative_agreement_15-16.pdf — 2015-2016 Salary Matrix AT-3 (2015-2016)
"# population: Licensure Level 3 Teachers and Librarians and Career Pathway Level 3 Counselors, Nurses, Social Workers and Interpreters | is_teacher_schedule: False"
# validation_warnings: none | audit confirmed
step,MA or NBC,MA+15,MA+45,Doctorate
1,52000,52226,52723,53220
2,52001,52230,53230,53732
3,52015,52250,53285,54284
4,52300,52536,53536,54575
5,52301,52537,53537,54576
6,52302,52538,53538,54578
7,52303,52539,53539,54579
8,52304,52540,53540,54580
9,52305,52541,53541,54581
10,52306,52542,53542,54582
11,52307,52543,53543,54583
12,52308,52545,53544,54584
13,52309,52546,53545,54585
14,53351,53884,54418,54952
15,53352,53885,54419,54953
16,53353,53886,54420,54954
17,53354,53888,54421,54955
18,53355,53889,54422,54956
19,53356,53890,54423,54957
20,53357,53891,54424,54958
21,53358,53892,54425,54959
22,53359,53893,54426,54960
23,53360,53894,54427,54961
24,53361,54199,54946,56012
25,53362,54200,54947,56013
26,53363,54201,54948,56014
27,53364,54731,54949,56015
28,53365,54732,55478,56546
29,53366,54733,55479,56547
30,53367,54734,55480,56548
31,53368,55799,57079,58679
32,53369,55800,57080,58680
33,53371,55802,58039,61346
34,54214,57079,59747,61348
35,55458,57613,60600,64974
36,56706,59213,63054,64975
37,57949,60173,63055,64976
38,59196,61258,64924,67428
39,60445,62506,65491,67429
40,61690,63756,66763,68401
41,62938,65027,68031,69675
