# Albuqurque_tentative_agreement_15-16.pdf — Appendix A.6 2015-2016 Salary Matrix A-4 Licensed School Psychologists (2015-2016)
# population: Licensed School Psychologists | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,LSP,Ph.D.;Psy.D.;Ed.D.
1,52530,55620
2,52531,55621
3,53055,56176
4,53056,56177
5,53057,56178
6,53058,56179
7,53059,56180
8,54115,57300
9,57300,60482
10,57301,60483
11,57302,60484
12,57303,60485
13,60482,63665
14,60483,63666
15,60484,63667
16,63665,66850
17,63666,66851
18,66850,70032
19,66851,70033
20,70032,73216
21,70033,73217
22,73216,76399
23,73217,76400
24,76399,79583
25,76400,79584
26,80643,83827
27,80644,83828
28,80645,83829
29,80646,83830
30,80647,83832
31,80648,83833
32,80649,83834
33,80650,83835
34,80651,83836
35,80652,83837
36,80653,83838
37,80654,83839
