# Albuqurque_tentative_agreement_15-16.pdf — Salary Matrix A-3 (2015-2016)
# population: Educational Diagnosticians and Transition Specialists | is_teacher_schedule: False
"# validation_warnings: identical values across steps ['34', '35'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,MA,MA+15,MA+45,Doctorate
1,48410,51500,54590,57680
2,48411,51501,54591,57681
3,48894,52015,55136,58257
4,48895,52016,55137,58258
5,48896,52017,55138,58259
6,48897,52018,55139,58260
7,48898,52019,55140,58261
8,49872,53054,56239,59421
9,51464,54646,57830,61014
10,53054,54647,57831,61015
11,53055,56239,59421,62605
12,53056,56240,59422,62606
13,53057,56241,59423,62607
14,53058,56242,59424,62608
15,53059,56243,59425,62609
16,53061,56244,59426,62610
17,54115,57300,60482,63665
18,54116,57301,60483,63666
19,57300,60482,63665,66850
20,57301,60483,63666,66851
21,60482,63665,66850,70032
22,60483,63666,66851,70033
23,63665,66850,70032,73216
24,63666,66851,70033,73217
25,66850,70032,73216,76399
26,71093,74277,77461,80643
27,71094,74278,77462,80644
28,71095,74280,77463,80645
29,71096,74281,77464,80646
30,71097,74282,77465,80647
31,71098,74283,77465,80648
32,71099,74284,77466,80649
33,71100,74285,77467,80650
34,71101,74286,77468,80651
35,71101,74286,77468,80651
