# Fresno_2016-2019_CBA.pdf — SALARY SCHEDULE: Full credit will be given for verified K12 teaching service ()
# population: Non-Credentialed and Full-Credentialed Teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,BA+30,BA+45,BA+60,BA+75,Class V (A05)
0,46537.86,49330.18,52122.49,54914.51,56561.90
1,49330.18,52122.49,54914.51,57706.98,59437.98
2,52122.49,54914.51,57706.98,60499.29,62314.07
3,54914.51,57706.98,60499.29,63291.61,65190.15
4,57706.98,60499.29,63291.61,66083.63,68066.09
5,60499.29,63291.61,66083.63,68875.94,70942.32
6,63291.61,66083.63,68875.94,71668.26,73818.26
7,66083.63,68875.94,71668.26,74460.58,76694.34
8,,71668.26,74460.58,77252.74,79570.28
9,,,77252.74,80045.21,82446.51
10,,,,82837.38,85322.44
