# Granite_School_DistrictTeacher_-_GSD_GEA_Professional_Agreement_2011-2014.pdf — Salary Schedule (2011-12)
# population: Teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,Lane 1,Lane 2,Lane 3,Lane 4,Lane 5,Lane 6,Lane 7
4,34081,35158,37042,37581,38927,40273,41619
5,35696,36773,38658,39196,40542,41888,43234
6,37312,38388,40273,40811,42157,43503,44849
7,38927,40004,41888,42426,43772,45118,46464
8,40542,41619,43503,44042,45388,46734,48080
9,42157,43234,45118,45657,47003,48352,49745
10,43772,44849,46734,47272,48631,50025,51418
11,45388,46464,48352,48909,50303,51697,53090
12,47003,48080,50025,50582,51975,53369,54764
13,,49747,51697,52255,53648,55042,56436
14,,,53369,53927,55321,56714,58109
15,,,,55599,56993,58388,59781
16,,,,,58665,60060,61453
17,,,,,,61732,63126
18,,,,,,,
19,,,,,,,
20,48632,51419,55043,57272,60337,63405,64799
