# 80-07.pdf — INDIANAPOLIS PUBLIC SCHOOLS SALARY SCHEDULE 2009/2010 Base (2009/2010)
# population: Certified Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['20', '21-24'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,BS Salary,MS Salary,MS +15 Salary,MS +30 Salary,MS +45 Salary,Doctorate Salary
1,35684,37189,37942,39436,40604,41513
2,37166,38666,39425,40927,42134,42989
3,38648,40155,40901,42407,43661,44471
4,40134,41634,42388,43894,45190,45965
5,41620,43123,43879,45405,46724,47438
6,43106,44606,45353,46855,48242,48928
7,44588,46089,46845,48339,49772,50406
8,46069,47576,48325,49825,51302,51890
9,47549,49058,49801,51307,52834,53374
10,49036,50536,51294,52791,54357,54860
11,50519,52023,52777,54280,55886,56338
12,52004,53507,54258,55761,57414,57830
13,53489,54984,55734,57243,58942,59313
14,55339,56474,57227,58730,60467,60786
15,55339,57962,58703,60209,61998,62279
16,55339,59439,60187,61696,63533,63759
17,55339,60921,61676,63176,65055,65242
18,55339,62409,63166,64661,66585,66727
19,55339,64253,65011,66511,68491,68572
20,57253,64253,65011,66511,68491,68572
21-24,57253,64253,65011,66511,68491,68572
25,57702,66692,67445,68969,71014,71042
