"# Montgomery_11-14.pdf — 10-Month Salary Schedule (Effective July 1, 2008)"
# population: 10-month certified teachers / Unit members | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BA,MA/MEQ,MA+30,MA+60
1,46410,51128,52630,53990
2,47125,51986,54200,55562
3,48538,53987,56286,57701
4,49995,56066,58454,59922
5,51494,58225,60704,62229
6,53478,60466,63041,64625
7,55537,62794,65469,67114
8,57674,65212,67990,69697
9,59895,67723,70607,72381
10,62201,70330,73325,75167
11,,73038,76148,78061
12,,75850,79079,81066
13,,78770,82124,84187
14,,81802,85285,87428
15,,84256,87844,90051
16,,86785,90480,92753
17,,89388,93194,95535
18,,92069,95990,98402
19,,94832,98870,101354
