"# 14-05.pdf — Salary Schedule (July 1, 2006 - June 30, 2007)"
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['01', '02'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Prov,BA(a),BA+30(b),BA+45,MA+30(b),"MA+60(b,c)",DR & MA (b)
01,44220,49692,52026,54471,57032,59711,60307
02,44220,49692,52026,54471,57032,59711,60307
03,45523,51155,53562,56078,58714,61472,62087
04,46866,52665,55142,57732,60447,63285,63918
05,48248,54219,56768,59434,62229,65153,65804
06,49672,55817,58443,61188,64063,67074,67744
07,51138,57465,60167,62994,65956,69054,69742
08,52646,59160,61942,64851,67901,71090,71801
09,54199,60904,63771,66763,69904,73186,73919
10,55798,62700,65650,68735,71966,75346,76099
11,57442,64551,67587,70762,74087,77567,78342
12,59138,66455,69582,72850,76274,79855,80655
13,59138,66455,71635,74998,78524,82213,83031
14,59138,66455,73749,77214,80840,84634,85481
15,59138,66455,75923,79491,83227,87133,88005
16,59138,66455,78164,81835,85679,89704,90600
17,59138,66455,80468,84249,88206,92351,93274
18,59138,66455,82842,86734,90808,95074,96026
19,59138,66455,85287,89291,93486,97881,98859
20,59138,66455,87802,91929,96246,100766,101775
