"# 14.pdf — Salary Schedule (July 1, 2007 - June 30, 2008)"
# population: Certified teachers (inferred from degree/education lanes) | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['*1', '2'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Prov,BA(a),BA+30(b),BA+45,MA+30(b),"MA+60(b,c)",DR & MA (b)
*1,38691,43481,45524,47663,49901,52248,52768
2,38691,43481,45524,47663,49901,52248,52768
3,39832,44762,46868,49068,51373,53789,54327
4,41008,46081,48250,50517,52892,55375,55928
5,42217,47442,49672,52005,54453,57009,57578
6,43462,48841,51137,53538,56056,58690,59277
7,44745,50281,52646,55120,57710,60422,61025
8,46066,51766,54200,56744,59414,62203,62826
9,47424,53292,55800,58418,61166,64037,64679
10,48823,54863,57446,60143,62971,65927,66587
11,50261,56482,59139,61917,64827,67871,68550
12,51746,58148,60883,63743,66741,69874,70574
13,51746,58148,62682,65624,68709,71934,72653
14,51746,58148,64531,67561,70735,74055,74797
15,51746,58148,66432,69554,72824,76242,77003
16,51746,58148,68393,71605,74971,78492,79276
17,51746,58148,70410,73718,77180,80807,81614
18,51746,58148,72487,75893,79458,83190,84022
19,51746,58148,74627,78131,81800,85645,86501
20,51746,58148,76826,80436,84215,88171,89054
