# Buffalo_contract_1999.pdf — 2003-2004 SALARY SCHEDULE (2003-2004)
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BS,BS+10,BS+20,BS+30,BS+40,BS+50,MS,MS+10,MS+20,MS+30,DR
Step 1,32697,33900,34903,35906,36909,37912,38915,37552,36555,35558,42936
Step 2,34542,35545,36548,37551,38554,39557,40560,39197,40200,41203,44581
Step 3,36887,37190,38193,39196,40199,41202,42205,40842,41845,42848,46226
Step 4,37032,38035,39038,40041,41044,42047,43050,42487,43490,44493,47871
Step 5,39477,40480,41483,42486,43489,44492,45495,44132,45135,46138,49516
Step 6,41122,42125,43128,44131,45134,46137,47140,46783,47786,48789,51161
Step 7,42676,43770,44773,45776,46779,47782,48785,47422,48425,49428,52806
Step 8,44122,45125,46128,47131,48134,49137,50140,49067,50070,51073,54451
Step 9,46575,47668,48661,49664,50667,51670,52673,51516,52519,53521,56096
Step 10,47702,48705,49708,50711,51714,52717,53720,52557,53560,54563,57741
Step 11,49347,50350,51353,52356,53359,54362,55365,54002,55005,56008,59386
Step 12,50992,51995,52998,53901,54904,55907,57010,56567,56565,57653,61031
Step 13,52637,53640,54643,55646,56649,57652,58655,57292,58295,59298,62676
Step 14,52837,53840,54843,55846,56849,57852,58857,57494,58493,59494,64321
Step 15,55137,56140,57143,58146,59149,60152,61155,60790,61793,62796,66881
Step 16,56842,57845,58848,59851,60854,61857,62860,61497,62500,63503,66881
Step 17,58487,59490,60493,61496,62499,63502,64505,63142,64145,65148,68526
Step 18,60132,61135,62138,63141,64144,65147,66150,64787,65790,66793,70171
Step 19,61777,62780,63783,64786,65789,66792,67795,66432,67435,68438,71816
Step 20,63422,64425,65428,66431,67434,68437,69440,68072,69080,70083,73461
Step 21,65067,66070,67073,68076,69079,70082,71085,69722,70722,71728,75106
Step 22,66712,67715,68718,69721,70724,71727,72730,71367,72370,73373,76751
Step 23,68357,69360,70363,71366,72414,73517,74657,75660,76663,77666,80041
