# Davis_SD_2022-2023.pdf — Salary Schedule – School Year 2022-2023 (2022-2023)
# population: licensed educators | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,185 Days,TSSA,Total
A,50947,654,51601
B,51822,654,52476
C,52697,654,53351
D,55072,654,55726
E,55947,654,56601
F,56822,654,57476
G,57697,1129,58826
H,58572,1129,59701
I,59447,1129,60576
J,60322,1129,61451
K,61197,1129,62326
L,62072,1129,63201
M,62947,1129,64076
N,63822,1129,64951
O,64697,1129,65826
P,65572,1129,66701
Q,66447,1129,67576
R,67322,1129,68451
S,68197,1129,69326
T,69072,1129,70201
U,69947,1129,71076
V,70822,1129,71951
W,71697,1129,72826
X,72572,1129,73701
Y,73447,1129,74576
Z,74322,654,74976
AA,75197,654,75851
AB,76072,654,76726
AC,76947,654,77601
AD,77822,654,78476
AE,78697,654,79351
AF,79572,654,80226
AG,80447,654,81101
AH,81322,654,81976
AI,82197,654,82851
AJ,83072,654,83726
AK,83947,654,84601
AL,84822,654,85476
AM,85697,654,86351
AN,86572,654,87226
