document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,notes
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,3,"Furthermore, to foster a cosmopolitan spirit and better develop CPS students as tolerant and unbiased citizens, the BOARD and the UNION shall work affirmatively to the end that each student may have the educational advantage of an integrated school.",the BOARD and the UNION,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,4,employees in such new job title or category of position shall be included within the existing bargaining unit.,employees in such new job title or category of position,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,4,the parties shall negotiate the terms and conditions of employment for such new or reclassified title or category of position.,the parties,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,4,"No other group or organization or representative thereof shall be recognized or permitted to engage on behalf of any employees included in the UNION bargaining unit (referred to herein as “bargaining unit employees” or “bargaining unit members”) in any activities concerning wages, hours or terms and conditions of employment, including the submission of proposals, participation in hearings, conferences or meetings for any purposes and any other group or collective action dealing with above-described matters, subject to the provisions of the Illinois Educational Labor Relations Act.",No other group or organization or representative thereof,other,management,shall,True,passive,plain,prohibition,prohibition,True,1.0,other,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,4,the above provisions shall not preclude the right of an individual to present grievances on his or her own behalf or to submit suggestions to the Chief Executive Officer as individuals or to prevent groups or organi,the above provisions,other,worker,shall,True,active,plain,prohibition,right,False,1.0,teacher_rights_and_conduct,Truncated at end of chunk.
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,5,"However, the above provisions shall not preclude the right of an individual to present grievances on his or her own behalf or to submit suggestions to the Chief Executive Officer as individuals or to prevent groups or organizations from presenting suggestions or proposals at the annual public hearing on the budget prescribed by statute.",the above provisions,management,worker,shall,True,active,plain,prohibition,right,False,1.0,teacher_rights_and_conduct,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,5,The Chief Executive Officer and the UNION shall have the right of free choice in designating representatives for the purpose of resolving grievances and professional problems.,The Chief Executive Officer and the UNION,other,management,shall,False,active,plain,obligation,right,False,1.0,discipline,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,5,The resolution of all grievances and professional problems shall be in accordance with the procedures that are a part of this Agreement.,The resolution of all grievances and professional problems,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,discipline,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,5,"The Office of the Chief Executive Officer shall, upon request and within seven calendar days or as soon as possible thereafter, furnish to the UNION available and pertinent reports, statistics and general information concerning CPS.",The Office of the Chief Executive Officer,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,Chicago Public Schools,5,The Chief Executive Officer shall have the same right to receive pertinent information from the UNION.,The Chief Executive Officer,management,management,shall,False,active,plain,obligation,right,False,1.0,other,
