# Chicago_CPS-CBA-2019-24.pdf — 1A. 208-Day Schedule / 2019-20 School Year (2019-20)
# population: Certified Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp
1,65882,65882,70494,65882,65882,70494
2,65882,66817,71494,65882,66817,71494
3,66845,67967,72725,66845,67967,72725
4,68025,69240,74087,68025,69240,74087
5,69324,71287,76277,69324,71287,76277
6,71401,73831,78999,71401,73831,78999
7,73979,76549,81908,73979,76549,81908
8,76750,79320,84873,76750,79320,84873
9,79560,82130,87879,79560,82130,87879
10,84164,86594,92655,84164,86594,92655
11,88670,90913,97277,88670,90913,97277
12,92663,94532,101150,92663,94532,101150
13,95441,97030,103822,95441,97030,103822
14a,97398,98753,105666,97398,98753,105666
14b,98753,98753,105666,98753,98753,105666
14c,98753,98753,105666,98753,98753,105666
15a,98753,99723,106704,98753,99723,106704
15b,99723,99723,106704,99723,99723,106704
15c,99723,99723,106704,99723,99723,106704
16a,100318,101580,108691,100318,101580,108691
16b,102751,102751,109944,102751,102751,109944
16c,102784,102784,109978,102784,102784,109978
17a,102810,103360,110595,102810,103360,110595
17b,103360,103360,110595,103360,103360,110595
18a,103360,104622,111946,103360,104622,111946
18b,104622,104622,111946,104622,104622,111946
18c,104622,104622,111946,104622,104622,111946
18d,104622,104622,111946,104622,104622,111946
18e,104622,104622,111946,104622,104622,111946
18f,104622,104622,111946,104622,104622,111946
