# Chicago_CPS-CBA-2019-24.pdf — 1A. 208-Day Schedule / 2020-21 School Year (2020-21)
# population: Certified Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp
1,67858,67858,72609,67858,67858,72609
2,67858,68793,73609,67858,68793,73609
3,68821,69943,74840,68821,69943,74840
4,70006,71221,76206,70006,71221,76206
5,71317,73280,78410,71317,73280,78410
6,73426,75856,81166,73426,75856,81166
7,76045,78615,84118,76045,78615,84118
8,78846,81416,87115,78846,81416,87115
9,81700,84270,90169,81700,84270,90169
10,84593,87023,93115,84593,87023,93115
11,89191,91434,97835,89191,91434,97835
12,93640,95509,102195,93640,95509,102195
13,97368,98957,105884,97368,98957,105884
14a,99941,101296,108387,99941,101296,108387
14b,101716,101716,108836,101716,101716,108836
14c,101716,101716,108836,101716,101716,108836
15a,101716,102686,109874,101716,102686,109874
15b,102715,102715,109905,102715,102715,109905
15c,102715,102715,109905,102715,102715,109905
16a,102715,103977,111256,102715,103977,111256
16b,104628,104628,111952,104628,104628,111952
16c,105834,105834,113242,105834,105834,113242
17a,105867,106417,113866,105867,106417,113866
17b,106461,106461,113913,106461,106461,113913
18a,106461,107723,115263,106461,107723,115263
18b,107761,107761,115304,107761,107761,115304
18c,107761,107761,115304,107761,107761,115304
18d,107761,107761,115304,107761,107761,115304
18e,107761,107761,115304,107761,107761,115304
18f,107761,107761,115304,107761,107761,115304
