# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2020-21 School Year (2020-21 School Year)
# population: certified teachers (inferred from context) | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 1 Base Salary,Lane 1 Total Salary,Lane 1 Total Comp,Lane 2 Base Salary,Lane 2 Total Salary,Lane 2 Total Comp,Lane 3 Base Salary,Lane 3 Total Salary,Lane 3 Total Comp,Lane 4 Base Salary,Lane 4 Total Salary,Lane 4 Total Comp
1,67904,67904,72657,72606,72606,77689,74958,74958,80205,77310,77310,82722
2,67904,69034,73866,72606,73736,78898,74958,76088,81414,77310,78440,83931
3,69068,70423,75353,73770,75125,80384,76122,77477,82901,78474,79829,85417
4,70499,71967,77004,75201,76669,82035,77553,79021,84552,79905,81373,87069
5,72082,74454,79666,76784,79156,84697,79137,81509,87214,81489,83861,89731
6,74631,77568,82998,79333,82270,88029,81685,84622,90545,84037,86974,93062
7,77798,80904,86567,82500,85606,91598,84852,87958,94115,87205,90311,96633
8,81183,84289,90189,85885,88991,95220,88237,91343,97737,90589,93695,100254
9,84633,87739,93881,89335,92441,98912,91687,94793,101429,94039,97145,103946
10,88129,91066,97441,92831,95768,102472,95185,98122,104990,97537,100474,107507
11,93688,96399,103147,98390,101101,108178,100742,103453,110695,103095,105806,113213
12,99064,101323,108416,103770,106029,113451,106120,108379,115965,108472,110731,118482
13,103574,105494,112879,108279,110199,117912,110630,112550,120428,112981,114901,122944
14a,106680,108318,115900,111383,113021,120933,113735,115373,123449,116087,117725,125966
14b,108822,108822,116440,113524,113524,121471,115878,115878,123989,118231,118231,126507
14c,108822,108822,116440,113524,113524,121471,115878,115878,123989,118231,118231,126507
15a,108822,109995,117694,113524,114697,122725,115878,117050,125243,118231,119403,127761
15b,110030,110030,117732,114732,114732,122763,117085,117085,125281,119438,119438,127799
15c,110030,110030,117732,114732,114732,122763,117085,117085,125281,119438,119438,127799
16a,110030,111551,119359,114732,116253,124390,117085,118606,126908,119438,120959,129426
16b,112339,112339,120203,117043,117043,125236,119394,119394,127752,121746,121746,130269
16c,113377,113377,121313,118219,118219,126494,120643,120643,129088,123063,123063,131678
17a,113417,114082,122067,118259,118924,127249,120683,121348,129842,123104,123769,132432
17b,114135,114135,122125,118978,118978,127306,121400,121400,129898,123822,123822,132490
18a,114135,115653,123749,118978,120496,128930,121400,122918,131523,123822,125340,134114
18b,115699,115699,123798,120541,120541,128979,122964,122964,131571,125386,125386,134163
18c,115699,115699,123798,120541,120541,128979,122964,122964,131571,125386,125386,134163
18d,115699,115699,123798,120541,120541,128979,122964,122964,131571,125386,125386,134163
18e,115699,115699,123798,120541,120541,128979,122964,122964,131571,125386,125386,134163
18f,115699,115699,123798,120541,120541,128979,122964,122964,131571,125386,125386,134163
