# Chicago_CPS-CBA-2019-24.pdf — 1B. 228-Day Schedule / 2022-23 School Year (2022-23)
# population: 228-Day Classroom Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 5 Base Salary,Lane 5 Total Salary,Lane 5 Comp,Lane 6 Base Salary,Lane 6 Total Salary,Lane 6 Comp
1,76792,76792,82167,79059,79059,84594
2,76792,77813,83260,79059,80080,85686
3,77849,79075,84610,80116,81342,87036
4,79149,80477,86111,81417,82745,88537
5,80595,82740,88531,82862,85007,90958
6,82929,85585,91576,85196,87852,94002
7,85856,88665,94872,88123,90932,97298
8,89017,91826,98254,91285,94094,100680
9,92233,95042,101695,94500,97309,104121
10,95495,98151,105022,97764,100420,107449
11,98663,101114,108192,100932,103383,110620
12,101659,103702,110961,103928,105971,113388
13,106375,108111,115679,108643,110379,118105
14a,110808,112289,120150,113075,114556,122575
14b,114564,114564,122583,116829,116829,125007
14c,115754,115754,123856,118021,118021,126283
15a,116239,117299,125510,118507,119567,127937
15b,117336,117336,125550,119604,119604,127976
15c,117369,117369,125585,119637,119637,128011
16a,117403,118780,127095,119671,121048,129521
16b,118829,118829,127147,121096,121096,129573
16c,118871,118871,127192,121139,121139,129618
17a,119631,120232,128648,121897,122498,131073
17b,121590,121590,130101,123925,123925,132599
18a,121648,123024,131635,123982,125358,134133
18b,123123,123123,131742,125457,125457,134239
18c,123166,123166,131788,125500,125500,134285
18d,123210,123210,131835,125544,125544,134332
18e,123210,123210,131835,125544,125544,134332
18f,123210,123210,131835,125544,125544,134332
