# Chicago_CPS-CBA-2019-24.pdf — 1B. 228-Day Schedule / 2023-24 School Year (2023-24)
# population: 228-Day Classroom Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 1 Base Salary,Lane 1 Total Salary,Lane 1 Comp,Lane 2 Base Salary,Lane 2 Total Salary,Lane 2 Comp,Lane 3 Base Salary,Lane 3 Total Salary,Lane 3 Comp,Lane 4 Base Salary,Lane 4 Total Salary,Lane 4 Comp,Lane 5 Base Salary,Lane 5 Total Salary,Lane 5 Comp,Lane 6 Base Salary,Lane 6 Total Salary,Lane 6 Comp
1,67749,67749,72491,72439,72439,77510,74787,74787,80022,77133,77133,82532,79480,79480,85043,81827,81827,87554
2,67749,68770,73584,72439,73460,78602,74787,75808,81115,77133,78154,83625,79480,80501,86136,81827,82848,88647
3,68806,70032,74934,73496,74722,79952,75844,77070,82465,78190,79416,84975,80536,81762,87486,82883,84109,89997
4,70112,71440,76440,74802,76130,81459,77150,78478,83971,79495,80823,86481,81842,83170,88992,84189,85517,91503
5,71563,73708,78868,76253,78398,83886,78602,80747,86399,80947,83092,88909,83294,85439,91420,85641,87786,93931
6,73905,76561,81920,78595,81251,86938,80943,83599,89451,83289,85945,91961,85635,88291,94472,87982,90638,96983
7,76850,79659,85235,81540,84349,90253,83888,86697,92765,86233,89042,95275,88580,91389,97786,90927,93736,100298
8,80038,82847,88646,84728,87537,93664,87076,89885,96177,89421,92230,98687,91768,94577,101198,94115,96924,103709
9,83308,86117,92145,87999,90808,97165,90348,93157,99677,92693,95502,102187,95040,97849,104698,97387,100196,107210
10,86637,89293,95544,91328,93984,100562,93676,96332,103075,96021,98677,105585,98368,101024,108096,100715,103371,110607
11,89856,92307,98768,94547,96998,103788,96894,99345,106299,99241,101692,108810,101587,104038,111320,103935,106386,113833
12,92922,94965,101613,97614,99657,106633,99961,102004,109144,102307,104350,111655,104653,106696,114165,107001,109044,116677
13,95601,97337,104150,100292,102028,109170,102639,104375,111681,104986,106722,114192,107331,109067,116702,109680,111416,119215
14a,100166,101647,108762,104857,106338,113781,107204,108685,116293,109550,111031,118804,111895,113376,121312,114242,115723,123823
14b,104489,104489,111803,109181,109181,116824,111527,111527,119334,113874,113874,121845,116219,116219,124355,118565,118565,126865
14c,106839,106839,114318,111533,111533,119340,113880,113880,121851,116225,116225,124361,118573,118573,126874,120918,120918,129382
15a,108073,109133,116773,112766,113826,121793,115112,116173,124305,117459,118519,126816,119805,120865,129326,122152,123212,131837
15b,109673,109673,117350,114367,114367,122372,116714,116714,124884,119059,119059,127393,121405,121405,129903,123752,123752,132414
15c,109711,109711,117391,114405,114405,122413,116752,116752,124925,119098,119098,127434,121443,121443,129944,123790,123790,132455
16a,109745,111122,118901,114439,115816,123923,116786,118163,126434,119132,120509,128944,121477,122854,131454,123824,125201,133965
16b,111206,111206,118990,115899,115899,124012,118246,118246,126524,120592,120592,129033,122938,122938,131543,125284,125284,134054
16c,111256,111256,119044,115949,115949,124066,118296,118296,126577,120642,120642,129087,122988,122988,131597,125334,125334,134108
17a,111300,111901,119734,115994,116595,124756,118340,118942,127267,120686,121287,129777,123032,123633,132287,125379,125980,134798
17b,112708,112708,120598,117402,117402,125620,119748,119748,128130,122095,122095,130641,124440,124440,133151,126786,126786,135661
18a,113766,115142,123202,118599,119975,128373,121013,122389,130956,123429,124805,133542,125846,127222,136127,128262,129638,138713
18b,115250,115250,123317,120082,120082,128488,122497,122497,131071,124913,124913,133657,127329,127329,136242,129746,129746,138828
18c,115353,115353,123428,120186,120186,128599,122600,122600,131182,125016,125016,133767,127433,127433,136353,129848,129848,138937
18d,115397,115397,123475,120230,120230,128646,122644,122644,131229,125061,125061,133815,127477,127477,136400,129892,129892,138985
18e,115443,115443,123524,120276,120276,128695,122690,122690,131278,125106,125106,133863,127522,127522,136449,129938,129938,139033
18f,115443,115443,123524,120276,120276,128695,122690,122690,131278,125106,125106,133863,127522,127522,136449,129938,129938,139033
