# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2023-24 School Year (2023-24 School Year)
# population: Certified teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp
1,90489,90489,96824,90489,90489,96824,90489,90489,96824,90489,90489,96824
2,90489,91619,98033,90489,91619,98033,90489,91619,98033,90489,91619,98033
3,91659,93014,99525,91659,93014,99525,91659,93014,99525,91659,93014,99525
4,93102,94570,101190,93102,94570,101190,93102,94570,101190,93102,94570,101190
5,94707,97079,103874,94707,97079,103874,94707,97079,103874,94707,97079,103874
6,97296,100233,107249,97296,100233,107249,97296,100233,107249,97296,100233,107249
7,100552,103658,110914,100552,103658,110914,100552,103658,110914,100552,103658,110914
8,104078,107184,114686,104078,107184,114686,104078,107184,114686,104078,107184,114686
9,107694,110800,118556,107694,110800,118556,107694,110800,118556,107694,110800,118556
10,111375,114312,122314,111375,114312,122314,111375,114312,122314,111375,114312,122314
11,114935,117646,125881,114935,117646,125881,114935,117646,125881,114935,117646,125881
12,118327,120586,129027,118327,120586,129027,118327,120586,129027,118327,120586,129027
13,121289,123209,131834,121289,123209,131834,121289,123209,131834,121289,123209,131834
14a,126338,127976,136934,126338,127976,136934,126338,127976,136934,126338,127976,136934
14b,131117,131117,140296,131117,131117,140296,131117,131117,140296,131117,131117,140296
14c,133720,133720,143080,133720,133720,143080,133720,133720,143080,133720,133720,143080
15a,135082,136254,145792,135082,136254,145792,135082,136254,145792,135082,136254,145792
15b,136853,136853,146432,136853,136853,146432,136853,136853,146432,136853,136853,146432
15c,136895,136895,146478,136895,136895,146478,136895,136895,146478,136895,136895,146478
16a,136933,138454,148145,136933,138454,148145,136933,138454,148145,136933,138454,148145
16b,138546,138546,148244,138546,138546,148244,138546,138546,148244,138546,138546,148244
16c,138601,138601,148303,138601,138601,148303,138601,138601,148303,138601,138601,148303
17a,138650,139314,149066,138650,139314,149066,138650,139314,149066,138650,139314,149066
17b,140207,140207,150022,140207,140207,150022,140207,140207,150022,140207,140207,150022
18a,141838,143356,153391,141838,143356,153391,141838,143356,153391,141838,143356,153391
18b,143475,143475,153519,143475,143475,153519,143475,143475,153519,143475,143475,153519
18c,143590,143590,153641,143590,143590,153641,143590,143590,153641,143590,143590,153641
18d,143638,143638,153693,143638,143638,153693,143638,143638,153693,143638,143638,153693
18e,143689,143689,153747,143689,143689,153747,143689,143689,153747,143689,143689,153747
18f,143689,143689,153747,143689,143689,153747,143689,143689,153747,143689,143689,153747
