# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2020-21 School Year ()
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 5 Base Salary,Lane 5 Total Salary,Lane 5 Comp,Lane 6 Base Salary,Lane 6 Total Salary,Lane 6 Comp
1,79661,79661,85238,82012,82012,87753
2,79661,80791,86447,82012,83142,88962
3,80825,82180,87933,83176,84531,90448
4,82256,83724,89584,84607,86075,92100
5,83840,86212,92246,86191,88563,94762
6,86388,89325,95578,88739,91676,98093
7,89556,92662,99148,91907,95013,101664
8,92940,96046,102769,95291,98397,105285
9,96390,99496,106461,98741,101847,108977
10,99888,102825,110022,102239,105176,112538
11,105446,108157,115728,107797,110508,118244
12,110824,113083,120999,113175,115434,123514
13,115334,117254,125462,117683,119603,127975
14a,118437,120075,128480,120789,122427,130997
14b,120581,120581,129021,122933,122933,131538
14c,120581,120581,129021,122933,122933,131538
15a,120581,121753,130276,122933,124105,132792
15b,121788,121788,130313,124140,124140,132830
15c,121788,121788,130313,124140,124140,132830
16a,121788,123309,131941,124140,125661,134457
16b,124098,124098,132785,126449,126449,135301
16c,125485,125485,134269,127906,127906,136859
17a,125526,126190,135024,127946,128611,137614
17b,126243,126243,135080,128664,128664,137671
18a,126243,127761,136704,128664,130182,139295
18b,127806,127806,136753,130228,130228,139344
18c,127806,127806,136753,130228,130228,139344
18d,127806,127806,136753,130228,130228,139344
18e,127806,127806,136753,130228,130228,139344
18f,127806,127806,136753,130228,130228,139344
