# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2021-22 School Year ()
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 1 Base Salary,Lane 1 Total Salary,Lane 1 Comp,Lane 2 Base Salary,Lane 2 Total Salary,Lane 2 Comp
1,69941,69941,74837,74784,74784,80019
2,69941,71071,76046,74784,75914,81228
3,71105,72460,77532,75948,77303,82714
4,72536,74004,79184,77379,78847,84366
5,74126,76498,81852,78969,81341,87034
6,76688,79625,85199,81531,84468,90381
7,79895,83001,88811,84738,87844,93993
8,83331,86437,92487,88174,91280,97669
9,86818,89924,96218,91661,94767,101400
10,90371,93308,99840,95215,98152,105022
11,93798,96509,103265,98641,101352,108447
12,99291,101550,108659,104134,106393,113841
13,104363,106283,113723,109210,111130,118909
14a,108659,110297,118018,113505,115143,123202
14b,111568,111568,119377,116412,116412,124561
14c,112087,112087,119933,116930,116930,125115
15a,112087,113259,121187,116930,118102,126370
15b,113294,113294,121225,118138,118138,126407
15c,113331,113331,121264,118174,118174,126446
16a,113331,114852,122891,118174,119695,128073
16b,114897,114897,122940,119740,119740,128122
16c,115709,115709,123809,120555,120555,128993
17a,116778,117443,125664,121766,122430,131000
17b,117504,117504,125729,122492,122492,131066
18a,117559,119077,127413,122547,124065,132750
18b,119123,119123,127462,124111,124111,132798
18c,119170,119170,127512,124157,124157,132848
18d,119170,119170,127512,124157,124157,132848
18e,119170,119170,127512,124157,124157,132848
18f,119170,119170,127512,124157,124157,132848
