# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2021-22 School Year ()
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 5 Base Salary,Lane 5 Total Salary,Lane 5 Comp,Lane 6 Base Salary,Lane 6 Total Salary,Lane 6 Comp
1,82051,82051,87795,84473,84473,90386
2,82051,83181,89004,84473,85603,91595
3,83215,84570,90490,85637,86992,93081
4,84646,86114,92142,87067,88535,94733
5,86235,88607,94810,88657,91029,97401
6,88798,91735,98156,91220,94157,100748
7,92005,95111,101769,94426,97532,104360
8,95442,98548,105446,97863,100969,108037
9,98928,102034,109176,101349,104455,111767
10,102481,105418,112798,104903,107840,115389
11,105909,108620,116224,108331,111042,118815
12,111402,113661,121617,113824,116083,124208
13,116475,118395,126683,118897,120817,129274
14a,120771,122409,130978,123191,124829,133567
14b,123677,123677,132335,126100,126100,134927
14c,124198,124198,132892,126621,126621,135484
15a,124198,125370,134146,126621,127793,136738
15b,125405,125405,134184,127828,127828,136776
15c,125442,125442,134223,127864,127864,136815
16a,125442,126963,135850,127864,129385,138442
16b,127008,127008,135899,129431,129431,138491
16c,127821,127821,136769,130243,130243,139360
17a,129250,129914,139008,131743,132408,141676
17b,129976,129976,139074,132469,132469,141742
18a,130030,131548,140756,132524,134042,143425
18b,131594,131594,140805,134088,134088,143474
18c,131640,131640,140855,134135,134135,143524
18d,131640,131640,140855,134135,134135,143524
18e,131640,131640,140855,134135,134135,143524
18f,131640,131640,140855,134135,134135,143524
