# Clark_County_2021-2023_CBA.pdf — TABLE THREE (3): LICENSED TRANSITIONAL SALARY SCHEDULE (TSS) (FISCAL YEAR 2015-2016)
# population: Licensed Transitional | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,CLASS A B.A.,CLASS B B.A. + 16,CLASS C B.A. + 32,CLASS D M.A.,CLASS E M.A. + 16,CLASS F M.A. + 32,CLASS G PH D,CLASS H ASC,CLASS I ASC + PH D
1,34637,36495,38357,40221,42087,44447,45947,47589,49089
2,36085,37942,39809,41669,43541,46145,47645,49286,50786
3,37531,39398,41256,43122,44985,47844,49344,50984,52484
4,38985,40845,42705,44569,46429,49536,51036,52677,54177
5,40427,42291,44155,46019,47880,51236,52736,54377,55877
6,41236,43745,45615,47466,49330,52934,54434,56074,57574
7,42557,44620,47054,48917,50779,54631,56131,57773,59273
8,,45941,48501,50364,52227,56328,57828,59471,60971
9,,,49952,51819,53675,58024,59524,61166,62666
10,,,,51401,53269,55123,61329,62970,64470
11,,,52722,54590,56444,61417,62917,64558,66058
12,,,,54590,56444,63463,64963,66606,68106
13,,,,,,64734,66234,67875,69375
14,,,,,,66029,67529,69171,70671
15,,,,,,67689,69189,70831,72331
16,,,,,,69010,70510,72152,73652
