# Clark_County_2021-2023_CBA.pdf — LICENSED PROFESSIONAL SALARY TABLE (Fiscal Year 2022)
# population: Licensed Professionals | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,I,II,III,IV,V,VI,VII,VIII
A,43011,44433,48694,54376,60058,61478,65740,71421
B,50115,,,,67160,,,
C,45851,51535,57217,62898,68579,74262,79943,85626
D,47273,52954,58637,64318,70001,75683,81365,87046
E,48694,54376,60058,65740,71421,77103,82785,88467
F,50115,55796,61478,67160,72842,78523,84206,89887
G,51535,57217,62898,68579,74262,79943,85626,91307
H,52954,58637,64318,70001,75683,81365,87046,92728
I,54376,60058,65740,71421,77103,82785,88467,94148
J,55796,61478,67160,72842,78523,84206,89887,95569
