"# Baltimore_City_Public_Schools_2021-2023.pdf — 2021 BTU Career Pathway Salary Schedule (Effective July 1, 2021)"
# population: BASE TEACHER | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,Standard Professional BTU.200,Model BTU.201,Lead BTU.202,BTU.203
1,52712,65854,96172,104713
2,54294,68727,97863,106516
3,55922,71602,99554,108321
4,57600,74475,101245,110123
5,59326,77350,102934,111926
6,,80448,,
7,,83660,,
8,,85350,,
9,,86483,,
10,,87615,,
11,,88747,,
12,,89881,,
13,,91013,,
14,,92145,,
15,,93279,,
