"# Baltimore_City_Public_Schools_2021-2023.pdf — 2021 BTU Career Pathway Salary Schedule (Effective July 1, 2021)"
# population: Support Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Standard (BTU.210),Professional (BTU.211),Model (BTU.212)
1,55154,68902,100624
2,56806,71908,102393
3,58511,74916,104162
4,60235,77922,105931
5,62073,80930,107700
6,,84173,
7,,87533,
8,,89300,
9,,90486,
10,,91671,
11,,92855,
12,,94041,
13,,95227,
14,,96411,
15,,97597,
