"# Baltimore_City_Public_Schools_2021-2023.pdf — 2021 BTU Career Pathway Salary Schedule (Effective July 1, 2021)"
# population: Department Head IV | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BTU.230,BTU.231,BTU.232
1,56819,69961,100279
2,58400,72834,101970
3,60029,75708,103660
4,61707,78581,105351
5,63434,81456,107040
6,,84556,
7,,87766,
8,,89458,
9,,90589,
10,,91722,
11,,92854,
12,,93988,
13,,95120,
14,,96252,
15,,97386,
