"# Baltimore_City_Public_Schools_2021-2023.pdf — 2022 BTU Career Pathway Salary Schedule (Effective July 1, 2022)"
# population: BASE TEACHER | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BTU.200,BTU.201,BTU.202,BTU.203
1,53898,67336,98336,107069
2,55516,70273,100065,108913
3,57180,73213,101794,110758
4,58896,76151,103523,112601
5,60661,79090,105250,114444
6,,82258,,
7,,85542,,
8,,87270,,
9,,88429,,
10,,89586,,
11,,90744,,
12,,91903,,
13,,93061,,
14,,94218,,
15,,95378,,
