"# Baltimore_City_Public_Schools_2021-2023.pdf — 2022 BTU Career Pathway Salary Schedule (Effective July 1, 2022)"
# population: BTU Career Pathway / Department Head III | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BTU.240,BTU.241,BTU.242
1,58380,71818,102817
2,59996,74755,104547
3,61662,77694,106275
4,63378,80631,108004
5,65143,83572,109731
6,,86741,
7,,90023,
8,,91753,
9,,92909,
10,,94068,
11,,95225,
12,,96385,
13,,97542,
14,,98700,
15,,99859,
