"# Baltimore_City_Public_Schools_2021-2023.pdf — 2022 BTU Career Pathway Salary Schedule (Effective July 1, 2022)"
# population: BTU teachers (Career Pathway) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BTU.270,BTU.271,BTU.272
1,62008,77467,113131
2,63869,80847,115120
3,65784,84228,117110
4,67758,87608,119098
5,69790,90990,121086
6,,94636,
7,,98412,
8,,100402,
9,,101734,
10,,103066,
11,,104397,
12,,105731,
13,,107063,
14,,108395,
15,,109727,
