# Broward_Teachers_U_Contract_2011_2014.pdf — SUPPLEMENTARY PAY SCHEDULE - APPENDIX F 2011-2012 (2011-2012)
# population: High School supplementary pay positions | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: [""(Girls' Team)""]; no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
step,value
A. Department Chairperson,156 per employee (Minimum 717)
B. Guidance Directors,3298
C. General,
1. Yearbook (not part of class),1579
2. Newspaper (not part of class),1579
3. Student Government,1579
4. Debate,1185
5. Drama (per major production),788
6. Newspaper (part of class),788
7. Yearbook (part of class),788
8. Literary Magazine,788
9. Senior Class Sponsor,788
10. Other Class Sponsor,392
11. Club Sponsor,392
12. Forensics,1076
13. Academic Games,1185
14. Inservice Facilitator 0-50 units,521
(51 & up - $7.17 per unit) maximum,1043
15. Career Education,717
16. Bus Duty (Based on number of buses supervised) 1-6,359
7-12,717
above 12,1076
17. Textbook Chairperson 1-700,717
"(Based on student population of October FTE count) 701-1,400",1076
"1,401-above",1434
18. Media Center Director (Directing two or more bargaining unit employees),1185
19. Sports for Athletics with Disabilities (4),717
20. Academic Competition (1),717
21. National Honor Society,1185
22. Media Center Coordinator (Directing one or more employees),359
23. Florida Future Educators of America,782
24. Urban Teacher Academy Mentor,750
D. Athletics*,
1. Yearly Positions,
a. Athletic Director (Boys & Girls),4490
b. Assistant Athletic Director (Boys & Girls),2169
c. Head Trainer (Boys & Girls),2604
d. Assistant Trainer (Boys & Girls),1735
e. Intramurals,1076
2. Head Coaches,
a. Head Football,3038
b. Head Basketball(Boys' Team),2604
(Girls' Team),2169
c. Head Track (Boys' Team),2169
(Girls' Team),2169
d. Head Baseball,2169
e. Head Softball,2169
