# Broward_Teachers_U_Contract_2011_2014.pdf — SUPPLEMENTARY PAY SCHEDULE - APPENDIX F 2011-2012 (2011-2012)
# population: Teachers | is_teacher_schedule: True
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
step,value
"D. Health Occupation, Student Assoc.",717
E. Florida Homemakers Assoc/Home Economics Related Occup,717
F. Vocational Industrial Clubs of America,717
G. Distributive Education Clubs of America,717
H. Florida Industrial Arts Student Association,717
VI. District Coordination of Academic Games* (3) 1. Elementary,652
VI. District Coordination of Academic Games* (3) 1. Elementary a. North Area,261
VI. District Coordination of Academic Games* (3) 1. Elementary b. North Central Area,261
VI. District Coordination of Academic Games* (3) 1. Elementary c. South Area,261
VI. District Coordination of Academic Games* (3) 1. Elementary d. South Central Area,261
VI. District Coordination of Academic Games* (3) 2. Middle,717
VI. District Coordination of Academic Games* (3) 3. High,717
VI. District Coordination of Academic Games* (3) B. Computer Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) B. Computer Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) B. Computer Competition: 3. High,717
VI. District Coordination of Academic Games* (3) C. Language Arts Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) C. Language Arts Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) C. Language Arts Competition: 3. High,717
VI. District Coordination of Academic Games* (3) D. Mathematics Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) D. Mathematics Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) D. Mathematics Competition: 3. High,717
VI. District Coordination of Academic Games* (3) E. Science Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) E. Science Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) E. Science Competition: 3. High,717
VI. District Coordination of Academic Games* (3) F. Social Studies Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) F. Social Studies Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) F. Social Studies Competition: 3. High,717
VI. District Coordination of Academic Games* (3) G. Foreign Language Competition: 1. Elementary,717
VI. District Coordination of Academic Games* (3) G. Foreign Language Competition: 2. Middle,717
VI. District Coordination of Academic Games* (3) G. Foreign Language Competition: 3. High,717
