# Denver_2022-2025-CBA-Final.pdf — DCTA CTE ProTech Instructor Salary Schedule ()
# population: CTE ProTech Instructor | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA/CDE Authorization,BA+18,BA+36/MA,MA+18,MA+36,MA+54,Doctorate
1,50130,52328,55065,58051,61037,64023,67009
2,51290,54148,56885,59942,62928,65914,69192
3,52990,55969,58706,61833,64819,67805,71375
4,54690,57789,60526,63724,66710,69696,73558
5,56391,59609,62346,65616,68602,71588,75741
6,58090,61430,64167,67506,70492,73478,77924
7,59790,63250,65987,69398,72384,75370,80106
8,61490,65070,67807,71289,74275,77261,82290
9,63190,66891,69628,73179,76165,79151,84472
10,64890,68711,71448,75071,78057,81043,86656
11,66589,70531,73268,76962,79948,82934,88838
12,68289,72351,75089,78853,81839,84825,91021
13,69990,74172,76910,80744,83730,86716,93204
14,71689,75992,78730,82635,85622,88608,95386
15,73389,77812,80550,84528,87514,90499,97570
16,75089,79635,82372,86418,89404,92390,99752
17,76790,81455,84192,88310,91296,94282,101936
18,78489,83275,86012,90201,93187,96173,104119
19,80189,85096,87833,92092,95078,98064,106302
20,81889,86916,89653,93983,96969,99955,109022
