document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,8,There shall be no individual arrangements or agreements made covering this Agreement or any part of this Agreement contrary to the terms provided herein.,no individual arrangements or agreements,management,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,9,"The President may designate, in writing, an alternate or alternates.",The President,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,9,"Titles of the Articles herein shall not, in and of themselves, affect the meaning, construction, or affect any of the sections or provisions of this contract.",Titles of the Articles herein,other,management,shall,True,active,plain,prohibition,prohibition,True,1.0,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,9,"The Employer shall make available upon request, to the DTU, existing employee lists and any other available documents that are subject to the ""Public Records Law"".",The Employer,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,9,The data will be provided as promptly as is reasonably possible.,The data,management,worker,will,False,passive,rights_passive,right,obligation,False,0.9,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,10,except that neither party shall be compelled to agree to a proposal or be required to make a concession unless otherwise provided in this part.,neither party,other,worker,shall,True,active,obligation_verb,right,right,True,1.0,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,11,"It is the express intent of the parties that if any article, section, sub-section, sentence, clause or provision of this Contract is found to be unconstitutional or invalid for any reason, the same shall not affect the remaining provisions of the Contract, except in the circumstances of Article I, Section I, Paragraph 2.",It,other,management,shall,True,active,plain,prohibition,other,False,1.0,other,True,Conditional severability clause; operative prohibition targets 'the same'.
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,11,"Such affected remaining provision(s) shall be renegotiated and replaced by the Employer and DTU, and made a part hereof as an appropriate amendment to this Contract.",Such affected remaining provision(s),other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,Joint renegotiation obligation for Employer and DTU.
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,12,pertinent sections of law will be displayed on the HR pages of the District website.,pertinent sections of law,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__cf81f1a2,Collective_Bargaining_Agreement_2011-2014T_.pdf,Duval County Public Schools,12,"the Board shall amend the law, rule, or regulation to conform to the new provisions of this Contract.",the Board,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
