# Collective_Bargaining_Agreement_2011-2014T_.pdf — APPENDIX B - SALARY-SUPPLEMENT SCHEDULE ()
# population: supplemental activity staff | is_teacher_schedule: False
"# validation_warnings: label_not_in_source: 'NEW SEASON AMOUNT' — this row/column label is not found in the page text; header may be garbled/merged (transcribe verbatim); only 1 lane column extracted — verify the source does not have additional columns (e.g. base salary, supplements, total) that were dropped | audit confirmed"
step,NEW SEASON AMOUNT
10-1000,551
10-1001,578
10-1002,893
10-1003,551
10-1100,3150
10-1101,1680
10-1102,2415
10-1103,4699
10-1104,1759
10-1105,2520
10-1106,2520
10-1107,2520
10-1108,1496
10-1109,1155
10-1110,1155
10-1111,1155
10-1112,1418
10-1113,1155
10-1200,2074
10-1201,840
10-1202,1444
10-1203,3150
10-1204,1418
10-1205,1890
10-1206,761
10-1207,1890
10-1208,1155
10-1209,1155
10-1210,1155
10-1211,1155
10-1212,1103
10-1213,1155
10-1300,5224
10-1302,4646
10-1303,2179
10-1306,2940
10-1307,1575
10-1350,3150
10-1352,2573
10-1353,2179
10-1356,1575
10-1357,1575
10-1358,1575
10-1359,1365
10-1360,2520
10-1398,
10-1399,
10-1400,1286
10-1401,1286
10-1402,2097
10-1403,2008
10-1404,3994
10-1405,2008
10-1406,1890
10-1407,1260
10-1408,2520
10-1409,1523
10-1410,2520
10-1411,1523
10-1412,2520
10-1413,1523
10-1414,525
10-1415,1286
10-1416,1286
10-1417,761
10-1418,761
10-1419,761
10-1420,761
10-1421,735
10-1425,1260
10-1426,604
10-1500,2074
10-1501,840
10-1502,1916
10-1503,840
10-1504,3150
10-1505,1575
10-1506,1890
10-1507,761
10-1508,525
10-1525,1260
10-1526,604
10-1527,630
10-1598,
10-1599,
10-1600,2468
10-1601,1680
10-1602,3150
10-1603,1680
10-1604,2468
10-1605,1680
10-1606,3150
10-1607,1680
10-1608,1890
10-1609,2520
10-1610,1523
10-1611,1890
10-1612,2520
10-1613,1523
10-1614,2520
10-1615,1523
10-1616,525
10-1617,735
10-1618,1260
10-1625,1260
10-1626,604
10-1700,2074
10-1701,840
10-1702,1916
10-1703,840
10-1704,1890
10-1705,761
10-1706,1890
10-1707,761
10-1708,525
10-1725,1260
10-1726,604
10-1798,
10-1799,
10-1800,1890
10-1801,2520
10-1802,1523
