document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,All teachers and other employees who are on or reach the top step of the salary schedule shall receive a $1500 increase each year of the tentative agreement.,All teachers and other employees who are on or reach the top step of the salary schedule,worker,worker,shall,False,active,rights_active,right,right,True,1.0,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,"In each year that the District attains AYP during this agreement, teachers at the top step will receive a $1000 bonus.",teachers at the top step,worker,worker,will,False,active,rights_active,right,right,True,0.9,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,Teachers who provide notice by January 15 of each year of the intent to retire at the end of the school year shall receive a $500.00 supplement in their final pay.,Teachers who provide notice by January 15 of each year of the intent to retire at the end of the school year,worker,worker,shall,False,active,rights_active,right,right,True,1.0,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,"Effective January 1, 2011, the Board and the PFT will implement an Enhanced TSA Severance Pay plan that utilizes a 403(b) structure to maximize tax savings and flexibility for retirees.",the Board and the PFT,other,worker,will,False,active,plain,obligation,obligation,True,0.9,benefits,True,Joint action by management and union.
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,"PPS schools that create a culture of collective problem-solving in order to achieve significant gains in student achievement as compared to schools State-wide or, in the case of PPS secondary schools, demonstrate significant student growth, will be rewarded for those efforts in the District’s STAR Schools Plan.","PPS schools that create a culture of collective problem-solving in order to achieve significant gains in student achievement as compared to schools State-wide or, in the case of PPS secondary schools, demonstrate significant student growth",management,worker,will,False,passive,rights_passive,right,obligation,False,0.9,other,True,Passive construction; district administration holds implicit authority to reward.
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,3,"District and PFT representatives, including practicing teachers, will engage in preparation and planning during the 2010-2011 school year for the launch of STAR Schools plan at the start of the 2011-2012 school year.","District and PFT representatives, including practicing teachers",other,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,Joint obligation.
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,"PPS schools that fall within the top 15% of the rank-ordered PA schools for growth, by level, will receive a school team bonus to be distributed to PFT-represented staff.","PPS schools that fall within the top 15% of the rank-ordered PA schools for growth, by level,",management,worker,will,False,active,rights_active,right,right,True,0.9,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,STAR school staff may provide consultation in subsequent years to other schools attempting to achieve similar results.,STAR school staff,worker,worker,may,False,active,plain,permission,permission,True,0.3,other,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,"PPS school(s) up to that number will be identified in order of student growth, as long as such schools are within the top 25% of growth in the State, by level.",PPS school(s) up to that number,management,worker,will,False,passive,plain,obligation,obligation,True,0.9,other,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,Schools identified in this manner may receive a pro-rated bonus to distribute.,Schools identified in this manner,management,worker,may,False,active,rights_active,right,permission,False,0.3,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,PFT-represented fulltime professionals will receive $6000,PFT-represented fulltime professionals,worker,worker,will,False,active,rights_active,right,right,True,0.9,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,PFT-represented paraprofessionals and technical clerical will receive $2000.,PFT-represented paraprofessionals and technical clerical,worker,worker,will,False,active,rights_active,right,right,True,0.9,compensation,True,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,Pittsburgh Public Schools,4,PFT-represented professionals who are assigned to the building for at least one (1) full day will receive a pro-rated amount as follows:,PFT-represented professionals who are assigned to the building for at least one (1) full day,worker,worker,will,False,active,rights_active,right,right,True,0.9,compensation,True,
