"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Intervention Special Education), Level III Salary Schedules - Master's Degree, Master's Equivalent, Bachelor's + 30 Credits (2010-2014)"
# population: Preschool Teachers (Early Intervention Special Education) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase¹
1,39210,40710,41210,41710,,,
2,41610,42110,43110,43610,,,
3,43300,44300,44800,45300,,,
4,44600,46100,46600,46600,,,
5,46500,47500,49430,48000,,,
6,48930,50670,50970,50970,50970,,
7,50170,51920,51920,51920,51920,,
8,47930,49670,53290,53290,53290,,
9,46000,49670,53290,53290,53290,,
10,44100,47930,52790,52790,52790,52790,
11,45500,49170,52790,52790,52790,52790,
12,46930,48670,52290,52290,52290,52290,
13,48170,49920,51790,51790,51790,51790,
14,49420,51290,56940,56940,56940,56940,
15,50790,56440,56940,56940,56940,56940,
16,55940,56440,56940,56940,56940,56940,
17,57440,57940,57940,57940,57940,57940,
18,57440,57940,57940,57940,57940,57940,
19,57440,57940,57940,57940,57940,57940,
20,57440,57940,57940,57940,57940,57940,
21,57440,57940,57940,57940,57940,57940,
22,57440,57940,57940,57940,57940,57940,
23,57440,57940,57940,57940,57940,57940,
24,57440,57940,57940,57940,57940,57940,
25,57440,57940,57940,57940,57940,57940,
26,57440,57940,57940,57940,57940,57940,
27,57440,57940,57940,57940,57940,57940,
28,57440,57940,57940,57940,57940,57940,
29,57440,57940,57940,57940,57940,57940,
30,57440,57940,57940,57940,57940,57940,
