# Pittsburgh_10-15.pdf — Salary Schedule (2010-2014)
# population: Social Workers | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase¹
1-,40010,40510,41010,41510,42010,42010,42010
2-,41910,42410,43010,43510,44010,44010,44010
3-,43600,44100,44700,45300,45900,45900,45900
4-,44900,45400,46000,46600,47200,47200,47200
5-,46300,46800,47300,47800,48300,48300,48300
6-,47730,48230,48730,49230,49730,49730,49730
7-,49470,50070,50670,51270,51870,51870,51870
8-,51220,51820,52420,53020,53620,53620,53620
9-,53090,53690,54290,54890,55490,55490,55490
10a,58945,60545,62145,63745,65345,65345,65345
10b,87600,87900,88200,88500,88800,88800,88800
