# Pittsburgh_10-15.pdf — Adjunct Teachers Salary Schedules and Hourly Rates (June 2010 - September 2014)
# population: Adjunct Teachers | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase*
1-,37070/31.38,38070/32.23,39570/32.65,39070/33.08,,,
2-,39050/30.95,40560/33.90,41050/34.75,41550/35.17,,,
3-,41090/33.06,41590/35.21,42390/36.60,43090/35.48,,,
4-,42230/35.75,42730/36.17,43230/36.60,43930/37.02,,,
5-,43960/37.21,43960/37.21,44460/37.64,44960/38.06,,,
6-,46220/39.13,46220/39.13,46720/39.55,47220/39.97,,,
7-,48260/40.86,48260/40.86,48760/41.28,49260/41.70,,,
8-,50000/42.33,50000/42.33,50000/42.33,50000/42.33,,,
9-,54380/46.21,54380/46.21,54380/46.21,54380/46.21,,,
10-,60380/51.12,60380/51.12,61380/51.96,61380/51.96,,,
