"# Pittsburgh_10-15.pdf — Master's Degree, Master's Equivalent, Bachelor's + 30 Credits (2010-2014)"
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase¹
1-,39710,40210,42110,43500,44300,46100,48000
2-,41610,43300,45100,47000,48430,50670,50670
3-,43300,45100,46500,48430,50170,51920,51920
4-,44600,46500,48430,50170,51420,53290,53290
5-,46000,47930,49670,51420,52790,54545,54545
6-,45500,47430,49170,50920,52790,54545,54545
7-,46930,48670,50420,52290,54290,56465,56465
8-,48170,49920,51790,53745,55800,58300,58300
9-,49420,51290,53845,56800,58800,61880,61880
10a,50790,53300,56945,60800,64300,68500,68500
10b,50790,53300,56945,60800,64300,68500,68500
10-,79800,81300,82800,84300,85800,87300,87300
