# Pittsburgh_10-15.pdf — Salary Schedule --- Regular 192-Day School Year* (2010-2014)
# population: Regular 192-Day School Year employees (inferred: teachers) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014 Total Increase¹
1-,37920,38420,38920,39420,39920,39920
2-,39650,40150,40650,41150,41650,41650
3-,41100,41600,42100,42600,43100,43100
4-,42420,42920,43420,43920,44420,44420
5-,43870,44370,44870,45370,45870,45870
6-,45290,45790,46290,46790,47290,47290
7-,47100,47600,48100,48600,49100,49100
8-,48950,49450,49950,50450,50950,50950
9-,48450,49930,50430,50930,51430,51430
10a,64975,65875,66775,67675,68575,68575
10b,80600,82100,83600,85100,86600,86600
11-,82400,83900,85400,87100,88600,88600
12-,84200,85700,87200,88700,90200,90200
