# Pittsburgh_10-15.pdf — Psychologists Salary Schedule (June 2010 - September 2014)
# population: Psychologists | is_teacher_schedule: False
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,45800,46300,46800,47300,47800,48300,41800
2-,47230,47730,48230,48730,49230,49730,40670
3-,48470,48970,49470,49970,50470,50970,39730
4-,49470,50220,52090,52590,51720,52220,
5-,49720,51590,53100,53090,53090,53590,38780
6a,51090,52090,53090,55090,55090,55090,38010
6b,80100,81600,83400,85200,87000,89100,9000
7-,80400,82200,84000,86100,87600,89100,8700
8-,80700,82500,84600,86100,87600,89100,8400
9-,81000,83100,84600,86100,87600,89100,8100
10-,81600,83100,84600,86100,87600,89100,7500
