# Pittsburgh_10-15.pdf — Social Workers Salary Schedule (June 2010 - September 2014)
# population: Social Workers | is_teacher_schedule: False
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39510,40010,40510,41010,41510,42010,10220
2-,41410,41910,42410,42910,43410,43910,9560
3-,43100,43600,44100,44600,45100,45600,9120
4-,44400,44900,45400,45900,46400,46900,9190
5-,45800,46300,46800,47300,47800,48300,10220
6-,47230,47730,48230,48730,49230,49730,10220
7-,48470,48970,49470,49970,50470,50970,9190
8-,49720,51590,52090,52590,53090,53590,10220
9-,51090,51590,52090,52590,53090,53590,9000
10a,51590,52090,52590,53090,53090,53590,9000
10b,80100,81600,83400,85200,87000,89100,9000
11-,80400,82200,84000,86100,87600,89100,8700
12-,80700,82500,84600,86100,87600,89100,8400
13-,81000,83100,84600,86100,87600,89100,8100
14-,81600,83100,84600,86100,87600,89100,7500
