"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Childhood), Level II Salary Schedules (September 2014)"
"# population: Preschool Teachers (Early Childhood), Level II | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,31940,32440,32940,33440,33940,34440,14240
2-,35030,35530,36030,36530,37030,37530,12500
3-,38120,38620,39120,39620,40120,40620,10850
4-,41210,41710,42210,42710,43210,43710,9200
5-,42450,42950,43450,43950,44580,45730,10850
6-,43680,44180,44680,45180,45680,46180,9200
7-,45030,45530,46030,46530,47030,47530,10850
8-,46470,46970,47470,47970,48470,48970,9200
9-,47910,48410,48910,49410,49910,50410,10850
10-,51720,52220,52720,53220,53720,54220,9190
