document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,The Union shall represent these employees in all matters concerning salaries and other terms and conditions of employment so long as the Union represents equally all personnel in the above-listed categories without regard to membership or participation in or association with the activities of any teachers’ organization.,The Union,worker,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,"When the District plans to change or add any classification of employee that may affect the status of any group represented by the Union, the District will notify the Union of such plans so that any potential problems may be mutually resolved before implementation.",the District,management,worker,will,False,active,plain,obligation,obligation,True,0.9,other,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,Members of the faculty shall be free to join or not to join any organization of teachers.,Members of the faculty,worker,worker,shall,False,active,permission_verb,permission,right,False,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,No member of the faculty shall be discriminated against because of membership or nonmembership in any such organization.,No member of the faculty,management,worker,shall,True,passive,prohibition_verb,permission,prohibition,False,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,No member of the faculty shall be propagandized directly or indirectly against joining or continuing membership in any such organization by any person in a supervisory or administrative capacity.,No member of the faculty,management,worker,shall,True,passive,prohibition_verb,permission,prohibition,False,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,No person in a supervisory or administrative capacity will interfere or involve himself/herself in the Union’s role to function effectively as sole representative.,No person in a supervisory or administrative capacity,management,worker,will,True,active,plain,prohibition,prohibition,True,0.9,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,13,The Principal shall be expected to make reasonable arrangements so that the elected CTU Chapter Chairperson may carry out his/her responsibilities.,The Principal,management,worker,shall,False,active,obligation_verb,obligation,obligation,True,1.0,other,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,Principal/Administrator shall recognize the elected CTU Chapter Chairperson as the official representative of the Union in the school.,Principal/Administrator,management,worker,shall,False,active,plain,obligation,obligation,True,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,"Employees shall have the right to request Union representation at any conference concerning a grievance, or a complaint involving performance, teaching methods or employment status of the employee.",Employees,worker,worker,shall,False,active,rights_active,right,right,True,1.0,discipline,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,"Every effort should be made between the Principal/Administrator and the Chapter Chairperson, or a designated Union representative of the member’s choice, to resolve the problem at a local level.",Every effort,other,worker,should,False,passive,obligation_verb,obligation,other,False,0.7,discipline,True,Implicit agents are Principal/Administrator and Union representative.
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,"Special groups that are not assigned to a particular school (e.g. psychologists, nurses, paraprofessionals, etc.) will continue to have Chapter Chairpersons to represent those groups.","Special groups that are not assigned to a particular school (e.g. psychologists, nurses, paraprofessionals, etc.)",worker,worker,will,False,active,plain,obligation,obligation,True,0.9,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,The Union members in each chapter shall have the exclusive right to choose their chapter representatives (Chapter Chairperson and Union Conference Committee (UCC)) according to the provisions of the Constitution and Bylaws of the Union.,The Union members in each chapter,worker,worker,shall,False,active,rights_active,right,right,True,1.0,teacher_rights_and_conduct,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,"When there is no Chapter Chairperson, the Union President shall designate one or shall act directly for the chapter until such time as a chairperson shall be elected.",the Union President,worker,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,Cleveland Metropolitan School District,14,The Union shall notify the Principal/Administrator and CEO of the names of the Union representatives in his/her chapter.,The Union,worker,management,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
