# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Additional Duty / Stipend Schedule (2021-2024)
# population: certified staff / additional duty employees | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,2021-2022,2022-2023,2023-2024,Payment Quarter
"Asst Coach, Soccer, Intermediate",856,,,1
"Intramural Director, Boys, / K-8 Schools Intermediate",1597,1644,1677,"1, 2, 3, 4"
"Middle Intramural Position Director, Girls, Intermediate",1597,1644,1677,"1, 2, 3, 4"
"Middle School Intramural Position Director, Coed, Intermediate",1597,1644,1677,"1, 2, 3, 4"
"Dramatics Director, Intermediate",1195,1231,1255,"1, 2, 3, 4"
"Athletic / Newspaper Director, Advisor, (Must have responsibilities for 5+ sports) Intermediate",1993,,,"1, 2, 3, 4"
"Vocal Music Director, Basketball, Intermediate",1195,1231,1255,"1, 2, 3, 4**"
"Instrumental Music Director, Basketball, Girls, Intermediate",1195,1231,1255,"1, 2, 3, 4**"
"Majorettes, Coach, Fencing, Intermediate (Minimum 7 Students)",869,895,913,"1, 2, 3, 4"
"Flag Squad, Coach, Golf, Intermediate (Minimum 7 Students)",869,,913,"1, 2, 3, 4"
"Military Drill Team, Coach, Soccer, Intermediate (Min. 7 Students)",1693,869,895,"1, 2, 3, 4"
"Track, Highsteppers, Boys, Intermediate (Min. 7 Students)",869,895,913,"1, 2, 3, 4"
"Cheerleader Advisor, Coach, Track, Girls, Intermediate (Min. 7 Students)",869,895,913,"1, 2, 3, 4"
"Testing Coordinator, Coach, Volleyball, Girls, Intermediate",1693,3642,3751,"1, 2, 3, 4"
Student Council Advisor: Intermediate,*,*,*,1
"Student Council Advisor: Asst Coach, Track, Boys, Intermediate",*,*,*,1
"Intramural Director, Asst Coach, Soccer, Senior Intermediate",856,,,1
"Intramural Director, Boys, Middle School / Intramural Director, Girls, Senior High and Middle School Intermediate",1597,1644,1677,"1, 2, 3, 4"
"Intramural Director, Coed, Middle School Intermediate",1597,1644,1677,"1, 2, 3, 4"
"Dept. Chair, Dramatics Director, Intermediate",3289.82,3388.51,3456.28,"1, 2, 3, 4"
"Guidance Counselor, Dramatics Director, Intermediate",2793.36,2877.16,2934.70,"1, 2, 3, 4"
"Guidance Counselor, Half Time Dept. Chair, Intermediate",1596.50,1644.40,1677.28,"1, 2, 3, 4"
"Dept. Chair, Educational Media, Newspaper Advisor, Intermediate",1159.78,1194.57,1218.46,"1, 2, 3, 4"
