"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — COMPUTER TECHNICIANS, INSTRUCTIONAL AIDES, PCIA, OT/PT ASSISTANTS, YRC COORDINATORS (2021-2024)"
"# population: classified/support staff (computer technicians, instructional aides, PCIA, OT/PT assistants, YRC coordinators) | is_teacher_schedule: False"
# validation_warnings: none | audit confirmed
step,2021-2022,2022-2023,2023-2024
Level 1,36343,37433,38181
Level 2,37183,38298,39064
Level 3,38023,39164,39947
Level 4,38864,40030,40830
Level 5,39703,40895,41712
Level 6,40544,41760,42595
Level 7,41384,42626,43478
Level 8,42224,43491,44360
Level 9,43064,44356,45243
Level 10,43905,45222,46126
Level 11,44744,46087,47008
Level 12,45585,46952,47891
Level 13,46424,47817,48773
Level 14,47265,48683,49656
Level 15,48105,49548,50539
Level 16,49068,50540,51551
Level 17,50050,51551,52582
