"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — HEARING OFFICERS/CLASSIFIED Salary Schedule (Effective July 1, 2021; Effective July 1, 2022; Effective July 1, 2023)"
# population: Hearing Officers / Classified Staff | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,2021-2022,2022-2023,2023-2024
Level 1,47746,49178,50162
Level 2,49167,50642,51655
Level 3,50688,52209,53253
Level 4,52685,54265,55350
Level 5,53878,55495,56605
Level 6,55484,57149,58292
Level 7,57017,58727,59902
Level 8,59237,61014,62235
Level 9,60294,62103,63345
Level 10,60294,62103,63345
Level 11,60423,62236,63480
Level 12,60423,62236,63480
Level 13,60423,62236,63480
Level 14,60423,62236,63480
Level 15,60423,62236,63480
Level 16,61730,63582,64853
Level 17,61730,63582,64853
Level 18,61730,63582,64853
Level 19,61730,63582,64853
Level 20,61730,63582,64853
Level 21,62919,64806,66102
Level 22,62919,64806,66102
Level 23,62919,64806,66102
Level 24,62919,64806,66102
Level 25,62919,64806,66102
Level 26,64106,66029,67350
Level 27,64106,66029,67350
Level 28,64106,66029,67350
Level 29,64106,66029,67350
Level 30,64106,66029,67350
Level 31,66477,68472,69841
